"","IKONOS","ROSIS","Landsat","GF-2","WV-3"
"LeNet","88.98","89.81","91.68","82.86","79.78"
"ResNet","96.00*","97.35*","97.09","84.47","83.91"
"FCN","91.52","91.95","92.43","82.88","81.23"
"SegNet","95.25","97.18","94.27","84.31","83.28"
"MSNN","89.25","88.70","93.47","84.60","84.89*"
"WCRN","95.71","94.38","93.92","84.72*","84.39"
"RNN with LSTM","94.90","96.04","97.74*","83.02","81.93"
"RNN with GRU","93.02","94.29","97.74","83.18","80.31"
"DRRNN with LSTM","96.49 (8)","98.67 (10)","98.63 (10)","89.62 (10)","87.29 (10)"
"DRRNN with GRU","97.18 (10)","98.40 (10)","98.69 (10)","89.88 (10)","87.00 (10)"
