"STUDY_ID","REVIEWERS","INCLUDE","X.1","X","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"1","joep","maybe","796","800","L5LSPUIP","journalArticle","2021","Owers, Christopher J.; Lucas, Richard M.; Clewley, Daniel; Planque, Carole; Punalekar, Suvarna; Tissott, Belle; Chua, Sean M. T.; Bunting, Pete; Mueller, Norman; Metternicht, Graciela","living earth: implementing national standardised land cover classification systems for earth observation in support of sustainable development","Big Earth Data",NA,"2096-4471","10.1080/20964471.2021.1948179","https://doi.org/10.1080/20964471.2021.1948179","earth observation (eo) has been recognised as a key data source for supporting the united nations sustainable development goals (sdgs). advances in data availability and analytical capabilities have provided a wide range of users access to global coverage analysis-ready data (ard). however, ard does not provide the information required by national agencies tasked with coordinating the implementation of sdgs. reliable, standardised, scalable mapping of land cover and its change over time and space facilitates informed decision making, providing cohesive methods for target setting and reporting of sdgs. the aim of this study was to implement a global framework for classifying land cover. the food and agriculture organisation’s land cover classification system (fao lccs) provides a global land cover taxonomy suitable to comprehensively support sdg target setting and reporting. we present a fully implemented fao lccs optimised for eo data; living earth, an open-source software package that can be readily applied using existing national eo infrastructure and satellite data. we resolve several semantic challenges of lccs for consistent eo implementation, including modifications to environmental descriptors, inter-dependency within the modular-hierarchical framework, and increased flexibility associated with limited data availability. to ensure easy adoption of living earth for sdg reporting, we identified key environmental descriptors to provide resource allocation recommendations for generating routinely retrieved input parameters. living earth provides an optimal platform for global adoption of eo4sdgs ensuring a transparent methodology that allows monitoring to be standardised for all countries.","2021-07-03","2024-01-19 10:24:11","2024-01-19 10:24:11",NA,"368-390",NA,"3","5",NA,"Big Earth Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Publisher: Taylor & Francis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","joep","NO","346","350","JIW5B4U6","journalArticle","2021","Huang, Jingyi; Hartemink, Alfred E.; Kucharik, Christopher J.","soil-dependent responses of us crop yields to climate variability and depth to groundwater","Agricultural Systems",NA,"0308-521X","10.1016/j.agsy.2021.103085","https://www.sciencedirect.com/science/article/pii/S0308521X2100038X","the effects of climate variations on crop yield have been widely studied. however, the effects of soil on crop-climate responses are often ignored in crop yield prediction. we investigated the effects of soil texture and soil organic carbon concentration (soc) on the yield responses of seven major crops (corn, winter wheat, soybean, cotton, barley, oats, rice) to growing season precipitation and temperature between 1958 and 2019 across the conterminous us. we also evaluated the effects of irrigation and groundwater depth on crop-climate responses. crop yields were most sensitive to precipitation and temperature variability in coarse-textured soils and less responsive to these weather parameters in medium- and fine- textured soils. increasing soc concentration (> 2%) contributed to crop yields being less sensitive to precipitation – due to increased water retention, and less responsive to temperature – presumably due to increased buffering capacity against increased water lost through evapotranspiration. irrigation and an intermediate depth to groundwater increase the resilience of crops to precipitation and temperature changes and these effects were also dependent on soil texture and soc. to enhance food security for a rapidly growing global population under a changing climate, best management practices should be adopted that improve soil structure and carbon stocks that can increase soil available water storage (“green water”) and nutrient retention and promote energy conservation. the spatial-temporal variations of soil texture, soc, and depth to groundwater should be considered in agricultural and ecosystem modeling to more accurately capture crop yield response to climate variations.","2021-05-01","2024-01-19 10:23:30","2024-01-19 10:23:30",NA,"103085",NA,NA,"190",NA,"Agricultural Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 per 1000; Best management practice (BMPs); Climate change; Soil carbon stock; Soil texture; Sustainable development goals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","joep","YES","25","25","DFL4DX7D","journalArticle","2023","Zhang, Yi; Yang, Yizhe; Zhang, Qinwei; Duan, Runqing; Liu, Junqi; Qin, Yuchu; Wang, Xianzhi","toward multi-stage phenotyping of soybean with multimodal uav sensor data: a comparison of machine learning approaches for leaf area index estimation","Remote Sensing",NA,NA,"10.3390/rs15010007","https://login.ezproxy.leidenuniv.nl/login??url=https://www.proquest.com/scholarly-journals/toward-multi-stage-phenotyping-soybean-with/docview/2761199743/se-2?accountid=12045","leaf area index (lai) is an important parameter which can be used for crop growth monitoring and yield estimation. many studies have been carried out to estimate lai with remote sensing data obtained by sensors mounted on unmanned aerial vehicles (uavs) in major crops; however, most of the studies used only a single type of sensor, and the comparative study of different sensors and sensor combinations in the model construction of lai was rarely reported, especially in soybean. in this study, three types of sensors, i.e., hyperspectral, multispectral, and lidar, were used to collect remote sensing data at three growth stages in soybean. six typical machine learning algorithms, including unary linear regression (ulr), multiple linear regression (mlr), random forest (rf), extreme gradient boosting (xgboost), support vector machine (svm) and back propagation (bp), were used to construct prediction models of lai. the results indicated that the hyperspectral and lidar data did not significantly improve the prediction accuracy of lai. comparison of different sensors and sensor combinations showed that the fusion of the hyperspectral and multispectral data could significantly improve the predictive ability of the models, and among all the prediction models constructed by different algorithms, the prediction model built by xgboost based on multimodal data showed the best performance. comparison of the models for different growth stages showed that the xgboost-lai model for the flowering stage and the universal models of the xgboost-lai and rf-lai for three growth stages showed the best performances. the results of this study might provide some ideas for the accurate estimation of lai, and also provide novel insights toward high-throughput phenotyping of soybean with multi-modal remote sensing data.","2023","2024-01-16 09:03:50","2024-01-19 11:00:13",NA,"7",NA,"1","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,"Publicly Available Content Database","2761199743",NA,NA,"Place: Basel Publisher: MDPI AG",NA,"; ","https://media.proquest.com/media/hms/PFT/1/V9IQQ?_a=ChgyMDI0MDExNjA4MTUyNTcwOTo1OTM2OTASBjEwMjAyMBoKT05FX1NFQVJDSCIOMTMyLjIyOS45Mi4xMDAqBzIwMzIzMzgyCjI3NjExOTk3NDM6DURvY3VtZW50SW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAyMy8wMS8wMXIKMjAyMy8xMi8zMXoAggEhUC0xMDA5MjQwLTEyMDQ1LUZSRUUtbnVsbC02NDU0ODk3kgEGT25saW5lygF1TW96aWxsYS81LjAgKE1hY2ludG9zaDsgSW50ZWwgTWFjIE9TIFggMTBfMTVfNykgQXBwbGVXZWJLaXQvNTM3LjM2IChLSFRNTCwgbGlrZSBHZWNrbykgQ2hyb21lLzEyMC4wLjAuMCBTYWZhcmkvNTM3LjM20gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCK09TOkVNUy1NZWRpYUxpbmtzU2VydmljZS1nZXRNZWRpYVVybEZvckl0ZW3KAg9BcnRpY2xlfEZlYXR1cmXSAgFZ8gIA%2BgIBWYIDA1dlYooDHENJRDoyMDI0MDExNjA4MTUyNTcwOTo0MDI5NzY%3D&_s=VqfXdHk7t4O3tTPHZNVRPKRs43Y%3D; http://catalogue.leidenuniv.nl/openurl/UBL/UBL_services_page?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apubliccontent&atitle=Toward+Multi-Stage+Phenotyping+of+Soybean+with+Multimodal+UAV+Sensor+Data%3A+A+Comparison+of+Machine+Learning+Approaches+for+Leaf+Area+Index+Estimation&title=Remote+Sensing&issn=&date=2023-01-01&volume=15&issue=1&spage=7&au=Zhang%2C+Yi%3BYang%2C+Yizhe%3BZhang%2C+Qinwei%3BDuan%2C+Runqing%3BLiu%2C+Junqi%3BQin%2C+Yuchu%3BWang%2C+Xianzhi&isbn=&jtitle=Remote+Sensing&btitle=&rft_id=info:eric/&rft_id=info:doi/10.3390%2Frs15010007","Algorithms; Back propagation; China; Comparative studies; Corn; Crop growth; Crops; Flowering; Hyperspectral imaging; Leaf area; leaf area index; Leaf area index; Learning algorithms; Leaves; Lidar; machine learning; Machine learning; multi-source remote sensing; Neural networks; Phenotyping; Physics; prediction models; Prediction models; Predictions; Regression analysis; Remote sensing; Remote sensors; Sensors; soybean; Soybean; Soybeans; Support vector machines; Unmanned aerial vehicles; Vegetation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","joep","NO","108","112","DFU3JAFW","journalArticle","2020","Kraemer, Guido; Reichstein, Markus; Camps-Valls, Gustau; Smits, Jeroen; Mahecha, Miguel D.","the low dimensionality of development","Social Indicators Research",NA,"03038300, 15730921","10.1007/s11205-020-02349-0","https://www.jstor.org/stable/48731670","[the world bank routinely publishes over 1500 “world development indicators” to track the socioeconomic development at the country level. a range of indices has been proposed to interpret this information. for instance, the “human development index” was designed to specifically capture development in terms of life expectancy, education, and standard of living. however, the general question which independent dimensions are essential to capture all aspects of development still remains open. using a nonlinear dimensionality reduction approach we aim to extract the core dimensions of development in a highly efficient way. we find that more than 90% of variance in the wdis can be represented by solely five uncorrelated dimensions. the first dimension, explaining 74% of variance, represents the state of education, health, income, infrastructure, trade, population, and pollution. although this dimension resembles the hdi, it explains much more variance. the second dimension (explaining 10% of variance) differentiates countries by gender ratios, labor market, and energy production patterns. here, we differentiate societal structures when comparing e.g. countries from the middle-east to the post-soviet area. our analysis confirms that most countries show rather consistent temporal trends towards wealthier and aging societies. we can also find deviations from the long-term trajectories during warfare, environmental disasters, or fundamental political changes. the data-driven nature of the extracted dimensions complements classical indicator approaches, allowing a broader exploration of global development space. the extracted independent dimensions represent different aspects of development that need to be considered when proposing new metric indices.]","2020","2024-01-19 10:21:46","2024-01-19 10:21:51","2024-01-15","999-1020",NA,"3","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JSTOR",NA,NA,NA,"Publisher: Springer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","joep","NO","751","755","HAZ764AV","journalArticle","2023","Weigand, Matthias; Wurm, Michael; Droin, Ariane; Stark, Thomas; Staab, Jeroen; Rauh, Jürgen; Taubenböck, Hannes","are public green spaces distributed fairly? a nationwide analysis based on remote sensing, openstreetmap and census data","Geocarto International",NA,"1010-6049","10.1080/10106049.2023.2286305","https://doi.org/10.1080/10106049.2023.2286305","green space (gs) is a crucial resource in urban areas, but not spatially uniformly distributed. we compare the availability of gs on a national scale using green land cover (glc) and public green space (pgs). using spatial census data we analyse gs availability and accessibility for the german population. the average gs availability differs by a factor of three between glc and pgs. 19.2 % of germans find less than the who defined target for pgs in their neighbourhood. pgs is less equally distributed among the population than glc, and green space equity varies significantly between rural and urban areas. in areas with multi-family homes, a higher share of the population has access to sufficient pgs than in areas with predominantly single-family homes. we find a negative relation between glc availability and share of immigrant population, which does not extend to pgs.","2023-12-31","2024-01-19 10:24:06","2024-01-19 10:24:06",NA,"2286305",NA,"1","38",NA,"Geocarto International",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Publisher: Taylor & Francis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","joep","NO","874","878","RZT5ZZ8P","journalArticle","2022","Oyinlola, Muyiwa; Schröder, Patrick; Whitehead, Timothy; Kolade, Oluwaseun; Wakunuma, Kutoma; Sharifi, Soroosh; Rawn, Barry; Odumuyiwa, Victor; Lendelvo, Selma; Brighty, Geoff; Tijani, Bosun; Jaiyeola, Tomi; Lindunda, Lukonga; Mtonga, Radhia; Abolfathi, Soroush","digital innovations for transitioning to circular plastic value chains in africa","Africa Journal of Management",NA,"2332-2373","10.1080/23322373.2021.1999750","https://doi.org/10.1080/23322373.2021.1999750","the paper analyzes the current state of plastic value chains in africa and the potential of digital innovations adopted by african entrepreneurs to contributing to a circular plastic economy. we provide an overview of plastic waste trade to african countries and an assessment of existing digital solutions that can support the transition to a circular plastic economy. the findings show that various digital innovations are being applied by entrepreneurs including web-based solutions, mobile apps and 3d printing. the case studies also show that multinational companies, especially consumer facing brands, are major players in the national plastic value chains in african countries, acting as seed funders for start-ups as well as buyers of recycled plastics. current initiatives that are underway are positive signs that changes are in progress to address the environmental and social impacts of plastics value chains in africa. however, to achieve a transition to sustainable circular value chains, changes at policy level will be required to enable scaling-up of local start-up businesses, address regulatory barriers to digital solutions, create markets for recycled plastic materials and implement extended producer responsibility regulations.","2022-01-02","2024-01-19 10:24:17","2024-01-19 10:24:17",NA,"83-108",NA,"1","8",NA,"Africa Journal of Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Publisher: Routledge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","joep","NO","214","218","5E2TQ853","journalArticle","2022","Akbarian, Hadi; Gheibi, Mohammad; Hajiaghaei-Keshteli, Mostafa; Rahmani, Mojtaba","a hybrid novel framework for flood disaster risk control in developing countries based on smart prediction systems and prioritized scenarios","Journal of Environmental Management",NA,"0301-4797","10.1016/j.jenvman.2022.114939","https://www.sciencedirect.com/science/article/pii/S0301479722005126","a decision support system (dss) is a highly efficient concept for managing complex objects in nature or human-made phenomena. the main purpose of the present study is related to designing and implementation of real-time monitoring, prediction, and control system for flood disaster management as a dss. likewise, the problem of statement in the research is correlated to implementation of a system for different climates of iran as a unique flood control system. for the first time, this study coupled hydrological data mining, machine learning (ml), and multi-criteria decision making (mcdm) as smart alarm and prevention systems. likewise, it created the platform for conditional management of floods in iran's different clusters of climates. according to the kmeans clustering system, which determines homogeneity of the hydrology of a specific region, iran's rainfall is heterogeneous with 0.61 score, which is approved high efficiency of clustering in a vast country such as iran with four seasons and different climates. in contrast, the relation of rainfall and flood disaster is evaluated by nearest neighbors classification (nnc), stochastic gradient descent (sgd), gaussian process classifier (gpc), and neural network (nn) algorithms which have an acceptable correlation coefficient with a mean of 0.7. the machine learning outputs demonstrated that based on valid data existence problems in developing countries, just with verified precipitation records, the flood disaster can be estimated with high efficiency. in the following, technique for order of preference by similarity to ideal solution (topsis) method as a game theory (gt) technique ranked the preventive flood damages strategies through three social (se 1), environmental (se 2), and economic (se 3) crises scenarios. the solutions of flood disaster management are collected from literature review, and the opinion approves them of 9 senior experts who are retired from a high level of water resource management positions of iran. the outcomes of the topsis method proved that national announcement for public-institutional participation for rapid response and funding (g1-2), establishment of delay structures to increase flood focus time to give the animals in the ecosystem the opportunity to escape to the upstream points and to preserve the habitat (g 2–8), and granting free national financial resources by government agencies in order to rebuild sensitive infrastructure such as railways, hospitals, schools, etc. to the provincial treasury (g3-10) are selected as the best solution of flood management in social, environmental, and economic crises, respectively. finally, the collected data are categorized in social, environmental, and economic aspects as three dimensions of sustainable development goals (sdgs) and ranked based on the opinion of 32 experts in the five provinces of present case studies.","2022-06-15","2024-01-19 10:23:22","2024-01-19 10:23:22",NA,"114939",NA,NA,"312",NA,"Journal of Environmental Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clustering; Decision support system; Flood control; Machine learning; Sustainable smart management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","joep","maybe","57","58","7PYFEG6Y","journalArticle","2021","Wei, Mingyue; Zhang, Zhaoming; Long, Tengfei; He, Guojin; Wang, Guizhou","monitoring landsat based burned area as an indicator of sustainable development goals","Earth's Future",NA,"2328-4277","10.1029/2020EF001960","https://doi.org/10.1029/2020EF001960","abstract the ?united nations 2030 agenda for sustainable development? adopted in 2015 covers 17 sustainable development goals (sdgs). fire is a common form of disaster and has a wide range of impacts on climate, biogeochemical cycle and human health, highly related to the sdgs. satellite remote sensing technology provides an effective way for the dynamic monitoring of global burned area (ba). however, the existing global ba products are mainly at low and medium spatial resolution, which is difficult for detecting small fires, and also has large errors in calculating area of burned land. based on landsat 8 surface reflectance data and google earth engine platform, a novel multi-year (from the starting year of sdgs [2015] to the nearest year [2019]) 30 m resolution global ba products were generated. based on these products, spatial distribution, influencing factors and change characteristics of ba were analyzed. the results show that from 2015 to 2019 the total area of ba in the world was 365.27, 368.56, 374.56, 345.55, and 363.09 ? 106 ha. from 2015 to 2019, the total area of global ba was relatively stable, however there were significant differences among various continents and regions. during the study period, ba in the amazon and australia changed dramatically. the huge amazon fire in 2019 caused a reduction of 4.67 ? 106 ha of vegetated area in the amazon basin, an increase in ba of 119.25% compared with 2018. in 2019, ba on the eastern and southeastern coasts of australia increased abnormally. the possible reasons for these changes were comprehensively discussed and analyzed.","2021-06-01","2024-01-19 10:20:24","2024-01-19 10:20:24","2024-01-15","e2020EF001960",NA,"6","9",NA,"Earth's Future",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Publisher: John Wiley & Sons, Ltd",NA,NA,NA,"climate anomalies; global burned area; global fire dynamics; human activity; Landsat; SDGs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","joep","YES","733","737","6FX5K2KI","journalArticle","2020","Li, Zhengtao; Zhou, Gang; Song, Qiong","a temporal group attention approach for multitemporal multisensor crop classification","Infrared Physics & Technology",NA,"1350-4495","10.1016/j.infrared.2019.103152","https://www.sciencedirect.com/science/article/pii/S1350449519306978","multitemporal observation capability is of great significance in crop classification. benefiting from time-intensive multitemporal multisensor rs data, we can obtain the fine temporal profiles of crops, and how to dig out the subtle differences of phenological profiles between crops is of great significance. in this paper, we propose a temporal-group-attention classifier to distinguish subtle differences of crops phenology, and the tga(temporal-group-attention) modules imitate the information selection mechanism of cognitive neuroscience to highlight differences between categories and ignore their similarities. after first obtaining the group sequence features of multitemporal rs images, then we use tga modules to select time periods with large differences in phenology. and the tga mechanism utilizes a “feature recalibration” strategy to highlight phenological differences, which firstly performs “group squeeze”, then “group excitation”, and finally performs “group reweighting”. in experiments, the proposed network is illustrated on a multitemporal dataset with sequence length of 65, in which the samples from sentinel-2a/b and landsat-8 are acquired over central valley of california throughout 2018. then, we perform multiresolution fusion for the sensors with different spatial resolutions. finally, the experimental results show that the proposed approach can achieve better classification accuracies over the categories with similar phenological profiles, compared with traditional methods and regular group convolution network without attention mechanism.","2020-03-01","2024-01-19 10:23:48","2024-01-19 10:23:48",NA,"103152",NA,NA,"105",NA,"Infrared Physics & Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Attention mechanism; Crop classification; Group convolution; Multiresolution fusion; Multitemporal multisensor; Temporal group attention",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","joep","NO","332","336","M5HZ8245","journalArticle","2020","Wu, Di; Wang, Hao; Seidu, Razak","smart data driven quality prediction for urban water source management","Future Generation Computer Systems",NA,"0167-739X","10.1016/j.future.2020.02.022","https://www.sciencedirect.com/science/article/pii/S0167739X19302687","a water supply system that integrates water source management, treatment and distribution is a critical infrastructure in urban areas. traditional water quality research mostly focused on separate aspects, lacking a comprehensive coverage of all aspects, which undermines the prediction accuracies. in this paper, we propose a smart data analysis scheme to analyze and predict the water quality, considering all the water quality standard indicators. instead of data output from water treatment, we collect the raw water data directly from water sources. we design two models to predict the water quality: (1) adaptive learning rate bp neural network (albp) and (2) 2-step isolation and random forest (2sirf). we applied these models in the practical urban water supply systems of oslo and bergen in norway. the results show that albp is theoretically simple and easy to implement. 2sirf considers the risk distribution and shows higher prediction accuracy. in addition, we perform the correlation analysis of all the indicators and the importance analysis over different indicators. the domain experts have confirmed that this work is meaningful for future risk control and decision support in urban water supply systems.","2020-06-01","2024-01-19 10:23:30","2024-01-19 10:23:30",NA,"418-432",NA,NA,"107",NA,"Future Generation Computer Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 Step isolation and random forest (2sIRF); Adaptive learning rate BP neural network (ALBP); Correlation analysis; Smart data analysis; Water quality control; Water supply system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
