"STUDY_ID","REVIEWERS","INCLUDE","X","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"1","joep_2a","YES","464","CVESJKWX","journalArticle","2022","Qin, Peng; Huang, Huabing; Tang, Hailong; Wang, Jie; Liu, Chong","mustfn: a spatiotemporal fusion method for multi-scale and multi-sensor remote sensing images based on a convolutional neural network","International Journal of Applied Earth Observation and Geoinformation",NA,"1569-8432","10.1016/j.jag.2022.103113","https://www.sciencedirect.com/science/article/pii/S1569843222003016","spatiotemporal data fusion is a commonly-used and well-proven technique to enhance the application potential of multi-source remote sensing images. however, most existing methods have trouble in generating quality fusion results when areas covered by the images undergoes rapid land cover changes or images have substantial registration errors. while deep learning algorithms have demonstrated their capabilities for imagery fusion, it is challenging to apply deep-learning-based fusion methods in regions that experiences persistent cloud covers and have limited cloud-free imagery observations. to address these challenges, we developed a multi-scene spatiotemporal fusion network (mustfn) algorithm based on a convolutional neural network (cnn). our approach uses multi-level features to fuse images at different resolutions acquired by multiple sensors. furthermore, mustfn uses the multi-scale features to overcome the effects of geometric registration errors between different images. additionally, a multi-constrained loss function is proposed to improve the accuracy of imagery fusion over large areas and solve fusion and gap-filling problems simultaneously by utilizing cloud-contaminated images with the fine-tuning method. compared with several commonly-used methods, our proposed mustfn performs better in fusing the 30-m landsat-7 images and 500-m modis images over a small area that has undergone large changes (the average relative mean absolute errors (rmae) of the first four bands are 6.8% by mustfn as compared to 14.1% by the enhanced spatial and temporal adaptive reflectance fusion model (estarfm), 12.8% by the flexible spatiotemporal data fusion (fsdaf), 8.4% by the extended super-resolution convolutional neural network (esrcnn), 8.1% by the spatiotemporal fusion using a generative adversarial network (stfgan)). in particularly for images at different resolutions with different registration accuracies (e.g., 16-m chinese gaofen-1 and 500-m modis), mustfn achieved fusion results of good quality with an average rmae of 9.3% in spectral reflectance at the first four bands. finally, we demonstrated the applicability of mustfn (average rmae of 9.18%) when fusing long-term landsat-8 composite images and modis images over a large region (830 km × 600 km). overall, our results suggest the effectiveness of mustfn to address the challenges in imagery fusion, including rapid land cover changes between image acquisition dates, geometric misregistration between images and limited availabilities of cloud-free images. the program of mustfn is freely available at: https://github.com/qpyeah/mustfn.","2022-12-01","2024-01-19 10:23:39","2024-01-19 10:23:39",NA,"103113",NA,NA,"115",NA,"International Journal of Applied Earth Observation and Geoinformation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CNN; Large-area image fusion; Multi-scale fusion scenarios; Multi-sensor satellite data; Spatiotemporal fusion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","joep_2a","YES","519","7EQICEER","journalArticle","2023","TAO, Jian-bin; ZHANG, Xin-yue; WU, Qi-fan; WANG, Yun","mapping winter rapeseed in south china using sentinel-2 data based on a novel separability index","Journal of Integrative Agriculture",NA,"2095-3119","10.1016/j.jia.2022.10.008","https://www.sciencedirect.com/science/article/pii/S2095311922002581","large-scale crop mapping using remote sensing data is of great significance for agricultural production, food security and the sustainable development of human societies. winter rapeseed is an important oil crop in china that is mainly distributed in the yangtze river valley. traditional winter rapeseed mapping practices are insufficient since they only use the spectral characteristics during the critical phenological period of winter rapeseed, which are usually limited to a small region and cannot meet the needs of large-scale applications. in this study, a novel phenology-based winter rapeseed index (pwri) was proposed to map winter rapeseed in the yangtze river valley. pwri expands the date window for distinguishing winter rapeseed and winter wheat, and it has good separability throughout the flowering period of winter rapeseed. pwri also improves the separability of winter rapeseed and winter wheat, which traditionally have been two easily confused winter crops. a pwri-based method was applied to the middle reaches of the yangtze river valley to map winter rapeseed on the google earth engine platform. time series composited sentinel-2 data were used to map winter rapeseed with 10 m resolution. the mapping achieved a good result with overall accuracy and kappa coefficients exceeding 92% and 0.85, respectively. the pwri-based method provides a new solution for high spatial resolution winter rapeseed mapping at a large scale.","2023-06-01","2024-01-19 10:23:41","2024-01-19 10:23:41",NA,"1645-1657",NA,"6","22",NA,"Journal of Integrative Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Google Earth Engine; phenology-based winter rapeseed index; Sentinel-2; winter rapeseed mapping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","joep_2a","YES","204","FRSMZC4I","journalArticle","2021","Bandyopadhyay, Sneha; Maiti, Subodh Kumar","application of statistical and machine learning approach for prediction of soil quality index formulated to evaluate trajectory of ecosystem recovery in coal mine degraded land","Ecological Engineering",NA,"0925-8574","10.1016/j.ecoleng.2021.106351","https://www.sciencedirect.com/science/article/pii/S0925857421002068","analytical tools for evaluating reclamation success in terms of soil quality are the prime requisite in order to address sustainable mining issues. identification of the influential parameters of reclamation success and prediction of soil health in terms of soil quality indexing and modelling remain obscure. therefore, the present study aims to formulate reclaimed mine soil quality index (rmsqi) using the indicator selection method and scoring function analysis. furthermore, for identification of the relationship between rmsqi and predictor variables, statistical (multiple linear regression; mlr) and machine learning (random forest; rf) approaches were applied to determine the suitable soil quality assessment technique for chronosequence afforested post-mining site in india. the results indicated that the organic carbon, exchangeable potassium, cation exchange capacity, sand percentage, microbial biomass carbon, dehydrogenase activity and fluorescein diacetate acitivity were the most influential variables impacting soil quality. the linear scoring-minimum dataset (lsf-mds) was considered as the most suitable approach to estimate rmsqi due to its highest correlation coefficients f, and coefficient of variance (cv) values. the lower error matrices and higher r2 for rf than mlr indicating the aptness of rf model in predicting soil quality in terms of evaluation of reclamation success. the present study concluded that the superiority of rf is associated with its ability to address hierarchical and non-linear relationship between rmsqi and its predictors.","2021-11-01","2024-01-19 10:23:22","2024-01-19 10:23:22",NA,"106351",NA,NA,"170",NA,"Ecological Engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multiple linear regression (MLR); Random Forest (RF) model; Reclaimed Mine Soil Quality Index (RMSQI); Reclamation success; Soil quality assessment; Sustainable mining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","joep_2a","NO","593","QPGB9JY4","journalArticle","2022","Wan, Qin; Tang, Zhangying; Pan, Jay; Xie, Mingyu; Wang, Shaobin; Yin, Hao; Li, Junming; Liu, Xin; Yang, Yang; Song, Chao","spatiotemporal heterogeneity in associations of national population ageing with socioeconomic and environmental factors at the global scale","Journal of Cleaner Production",NA,"0959-6526","10.1016/j.jclepro.2022.133781","https://www.sciencedirect.com/science/article/pii/S0959652622033583","global concerted and sustained action is required under a rapid population ageing trend, while global ageing varies across countries in space and time. to support global action on sustainable development and healthy ageing, we investigated the spatiotemporal heterogeneity toward associations between national population ageing (the share of the population aged 65 and older) and various socioeconomic and environmental factors for 189 countries and territories from 2001 to 2020. we adopted bayesian spatiotemporally varying coefficients (stvc) model to fit the spatial and temporal heterogeneous associations among variables. the concept of variance partitioning was innovatively integrated into bayesian stvc modeling to propose a spatiotemporal variance partitioning index (stvpi) for identifying the explainable percentage of influencing factors considering their spatiotemporal heterogeneous impacts. the results showed that global ageing had increased rapidly over the past 20 years, especially after 2009, and exhibited a clear geospatial agglomeration, with europe and africa possessing the highest and lowest regional ageing levels. the total explainable percentages of socioeconomic and environmental factors for global ageing were 61.85% [95% credible intervals (cis): 58.57%–64.9%] and 37.40% (95% cis: 34.38%–40.65%), respectively. specifically, the cumulative explainable percentage of the five factors, male-to-female ratio, gross national income (gni), particulate matter 2.5 (pm2.5), normalized difference vegetation index (ndvi), and temperature, exceeded 90%. over time, the annual impacts of education, male-to-female ratio, and physicians were increasing year by year; in contrast, the annual impacts of hospital beds, gni, ndvi, pm2.5, and precipitation showed downward trends. geospatially, the country-scale impacts of all factors showed substantial geographical disparities globally but significant clusters regionally. according to country subgroups (not-ageing, ageing, aged, and hyper-aged society), sex ratio, national income, air quality, greenness, and climate consistently played essential roles across the subgroups of four ageing stages. our findings focusing on spatiotemporal disparities toward ageing and its influencing factors are expected to inform the formation of differentiated policies tailored for different national contexts in response to global ageing. the stvc-based stvpi is promising to be used in broader natural and social sciences to determine the relative importance of potential influencing factors within spatiotemporal dimensions to real-world phenomena.","2022-11-01","2024-01-19 10:23:44","2024-01-19 10:23:44",NA,"133781",NA,NA,"373",NA,"Journal of Cleaner Production",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bayesian STVC model; Global ageing; Socioeconomic and environment; Space-time relative importance of factors; Spatiotemporal nonstationarity; Spatiotemporal variance partitioning index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","joep_2a","YES","224","SRFCZKAW","journalArticle","2021","Ismael, Mohamedelfatieh; Mokhtar, Ali; Farooq, Muhammad; Lü, Xin","assessing drinking water quality based on physical, chemical and microbial parameters in the red sea state, sudan using a combination of water quality index and artificial neural network model","Groundwater for Sustainable Development",NA,"2352-801X","10.1016/j.gsd.2021.100612","https://www.sciencedirect.com/science/article/pii/S2352801X21000692","this study aimed to assess the quality of water resources, and its suitability for the drinking uses in red sea state, sudan. particularly, with regard to international standards from the world health organization (who/2017), and the national standards from sudanese standard and meteorology organization for drinking water (sds-044/2007). twenty locations site were investigated to represent this important area, where its analysed for compliance with the national and international standards, furthermore, the suitability for drinking purpose was assessed by using water quality index (wqi) method. artificial neural network (ann) was applied to predict the qwi by using the algorithm of feed forward back propagation artificial neural networks (bp ann) for optimization. physio-chemical assessments indicated that, water resources did not conform to the safe limits, especially heavy metals likes cadmium, which has the highest concentrations-hazard in almost all samples. high lead levels were observed at nineteen sites, while a high concentrations of nickel, and total dissolved solids were observed at seven locations. the microbial assessment indicated most of locations did not conform to the safe limits, a high bacteria –hazard for total coliform and escherichia coli were observed in fourteen, and seven locations, respectively. computed wqi values ranged from 35.61 to 337.52. ann model showed much high prediction accuracy of wqi modeling with r2 values greater than 0.95 during training, testing and validation. wqi spatial distribution shown that, red sea state has unsuitable water quality in most of study sites (70%). the effects of heavy pollutants dominated on the water quality, and spread in these regions. this study conducted the first full-scale survey of the drinking water sources (ground and surface) in the red sea state of sudan. based on these results, we recommended that, an urgent measures such as a chemical treatments to treat the pollution, with/or filters installation should be implemented as soon as possible to manage and protect the water resources.","2021-08-01","2024-01-19 10:23:26","2024-01-19 10:23:26",NA,"100612",NA,NA,"14",NA,"Groundwater for Sustainable Development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial neural networks (ANN); Heavy metals; Red sea state; SDS Limits; Sudan; Water quality index (WQI); WHO Limits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","joep_2a","YES","136","58JA39DV","journalArticle","2020","Shaharum, Nur Shafira Nisa; Shafri, Helmi Zulhaidi Mohd; Ghani, Wan Azlina Wan Ab Karim; Samsatli, Sheila; Al-Habshi, Mohammed Mustafa Abdulrahman; Yusuf, Badronnisa","oil palm mapping over peninsular malaysia using google earth engine and machine learning algorithms","Remote Sensing Applications: Society and Environment",NA,"2352-9385","10.1016/j.rsase.2020.100287","https://www.sciencedirect.com/science/article/pii/S2352938519303337","oil palm plays a pivotal role in the ecosystem, environment, economy and without proper monitoring, uncontrolled oil palm activities could contribute to deforestation that can cause high negative impacts on the environment and therefore, proper management and monitoring of the oil palm industry are necessary. mapping the distribution of oil palm is crucial in order to manage and plan the sustainable operations of oil palm plantations. remote sensing provides a means to detect and map oil palm from space effectively. recent advances in cloud computing and big data allow rapid mapping to be performed over large a geographical scale. in this study, 30 m landsat 8 data were processed using a cloud computing platform of google earth engine (gee) in order to classify oil palm land cover using non-parametric machine learning algorithms such as support vector machine (svm), classification and regression tree (cart) and random forest (rf) for the first time over peninsular malaysia. the hyperparameters were tuned, and the overall accuracy produced by the svm, cart and rf were 93.16%, 80.08% and 86.50% respectively. overall, the svm classified the 7 classes (water, built-up, bare soil, forest, oil palm, other vegetation and paddy) the best. however, rf extracted oil palm information better than the svm. the algorithms were compared and the mcnemar's test showed significant values for comparisons between svm and cart and rf and cart. on the other hand, the performance of svm and rf are considered equally effective. despite the challenges in implementing machine learning optimisation using gee over a large area, this paper shows the efficiency of gee as a cloud-based free platform to perform bioresource distributions mapping such as oil palm over a large area in peninsular malaysia.","2020-01-01","2024-01-19 10:23:09","2024-01-19 10:23:09",NA,"100287",NA,NA,"17",NA,"Remote Sensing Applications: Society and Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cloud computing; Image classification; Landsat; Machine learning; Oil palm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","joep_2a","NO","338","AU27LLJ4","journalArticle","2023","Shen, Ming; Cao, Zhigang; Xie, Liqiang; Zhao, Yanyan; Qi, Tianci; Song, Kaishan; Lyu, Lili; Wang, Dian; Ma, Jinge; Duan, Hongtao","microcystins risk assessment in lakes from space: implications for sdg 6.1 evaluation","Water Research",NA,"0043-1354","10.1016/j.watres.2023.120648","https://www.sciencedirect.com/science/article/pii/S0043135423010886","cyanobacterial blooms release a large number of algal toxins (e.g., microcystins, mcs) and seriously threaten the safety of drinking water sources what the sdg 6.1 pursues (to provide universal access to safe drinking water by 2030, united nations sustainable development goal). nevertheless, algal toxins in lake water have not been routinely monitored and evaluated well and frequently so far. in this study, a total of 100 large lakes (>25 km2) in densely populated eastern china were studied, and a remote sensing scheme of human health risks from mcs based on sentinel-3 olci data was developed. the spatial and temporal dynamics of mcs risk in eastern china lakes since olci satellite observation data (2016–2021) were first mapped. the results showed that most of the large lakes in eastern china (80 out of 100) were detected with the occurrence of a high risk of more than 1 pixel (300×300 m) at least once. fortunately, in terms of lake areas, the frequency of high human health risks in most waters (70.93% of total lake areas) was as less as 1%. this indicates that drinking water intakes can be set in most waters from the perspective of mcs, yet the management departments are required to reduce cyanobacterial blooms. this study highlights the potential of satellite in monitoring and assessing the risk of algal toxins and ensuring drinking water safety. it is also an important reference for sdg 6.1 reporting for lakes that lack routine monitoring.","2023-10-15","2024-01-19 10:23:31","2024-01-19 10:23:31",NA,"120648",NA,NA,"245",NA,"Water Research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drinking water; Microcystins; Phycocyanin; Sustainable development goals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","joep_2a","NO","262","Q9SDJ4LD","journalArticle","2021","Devkota, Krishna Prasad; Devkota, Mina; Paudel, Gokul Prasad; McDonald, Andrew James","coupling landscape-scale diagnostics surveys, on-farm experiments, and simulation to identify entry points for sustainably closing rice yield gaps in nepal","Agricultural Systems",NA,"0308-521X","10.1016/j.agsy.2021.103182","https://www.sciencedirect.com/science/article/pii/S0308521X21001359","context rice is the primary staple food crop in nepal, contributing 20% of the agricultural gross domestic product and more than 50% of the total calories in the national diet. nevertheless, the productivity of rice (3.36 t ha−1) is the lowest in south asia region. objective the objective of this study was to employ a mixed-methods approach to characterize and decompose yield gaps (ygs) in the context of identifying sustainable intensification pathways for rice production in nepal. methods methodologies include: a) landscape-scale crop diagnostic survey on crop management, field attributes, and productivity outcomes combined with gridded soil and daily weather data to decompose rice yield gaps into constituent factors with machine learning diagnostics; b) with survey data, computation of key performance indicators to identify factors associated with productivity, profitability, and resource use efficiencies; c) complementary multi-location on-farm experiments (2011–2017) evaluating new agronomic management practices; and d) dynamic simulation (oryza3) to derive estimates of rice yield potential. results and conclusions analysis of survey data suggests an exploitable yg of 2.57 t ha−1 (40%) and the total yg of 4.85 t ha−1 (55%) indicating substantial scope for increasing rice yields in nepal. frequency of irrigation, amount of late-season rainfall, soil type, amount of early-season rainfall, presence of water stress, soil ph, and nitrogen (n) and phosphorus (p) fertilizer rates are the principal determinants of productivity outcomes in descending ranked order. efficiency metrics suggest rice farmers in the study region make good use of fertilizer inputs, but since application rates are very low (e.g. most farmers apply <20 kg p ha−1) unsustainable mining of soil nutrients is likely common. farmers in the top 10% of the yield distribution had lower greenhouse gas emission intensities (−43%), increased water productivity (+66%), and higher use efficiencies of n and p fertilizers (+28% and + 20%, respectively), suggesting that yield intensification can be achieved without tradeoffs with key environmental performance indicators. on-farm experiments conducted over several seasons support insights from surveys by demonstrating that major gains in rice yield (1.86 t ha−1) and profitability (us$ 243 ha−1) are achievable through the adoption of good agronomic practices. significance through a mixed methods approach, our results suggest that adoption of integrated 'good agronomic practices' can close ygs and improve food security outcomes associated with the rice-based agricultural systems of nepal while simultaneously preserving or enhancing key sustainability and livelihood objectives.","2021-08-01","2024-01-19 10:23:27","2024-01-19 10:23:27",NA,"103182",NA,NA,"192",NA,"Agricultural Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good agronomic practices; Machine learning; Sustainability indicators; Sustainable intensification; Yield gap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","joep_2a","YES","278","T6J8ATAY","journalArticle","2023","Wang, Ming; Mao, Dehua; Xiao, Xiangming; Song, Kaishan; Jia, Mingming; Ren, Chunying; Wang, Zongming","interannual changes of coastal aquaculture ponds in china at 10-m spatial resolution during 2016–2021","Remote Sensing of Environment",NA,"0034-4257","10.1016/j.rse.2022.113347","https://www.sciencedirect.com/science/article/pii/S0034425722004539","the rapid growth of coastal aquaculture has strongly supported global food security and economic development of coastal areas in the past few decades but has also caused remarkable impacts on coastal ecosystems. accurate delineation of coastal aquaculture extent and changes is thus significant for improving coastal zone management toward sustainability. here, by means of sentinel-2 images, we propose an effective and rapid approach that combines simple non-iterative clustering (snic) with hierarchical decision trees (hdt), so-called snic-hdt, to generate fine-resolution coastal aquaculture pond data at the national scale of china. the snic-hdt fully considers the spatial heterogeneity of coastal aquaculture ponds and performs accurate segmentation by determining the optimal segmentation scale for coastal aquaculture ponds with different sizes and shapes. in addition, the snic-hdt incorporates temporal features into the establishment of hdt and thus effectively distinguishes coastal aquaculture ponds from other water bodies. in support of the google earth engine platform, we employed 85,501 scenes of sentinel-2 images and generated the first annual 10-m spatial resolution national coastal aquaculture pond dataset of china between 2016 and 2021 (china_cap), with an overall classification accuracy of more than 90%. this dataset reveals that total area of china's coastal aquaculture ponds experienced a substantial loss of 13.21% from 9769 km2 in 2016 to 8629 km2 in 2021. the most remarkable areal reduction occurred in zhejiang province, with a decrease rate of 38.24%, followed by guangdong (27.93%), and these reductions were mostly related to the policy of retuning aquaculture ponds to natural wetlands. coastal aquaculture ponds in fujian and tianjin provinces experienced slight areal gains (7.24% and 2.13%). the results generated in this study could provide a basis for the conservation of habitats of migratory water birds on the east asia-australia flyway and are of great scientific and practical importance to support the evaluation of sustainable development goals.","2023-01-01","2024-01-19 10:23:28","2024-01-19 10:23:28",NA,"113347",NA,NA,"284",NA,"Remote Sensing of Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"China; Coastal aquaculture ponds; Coastal wetlands; Google Earth Engine; Sentinel-2 imagery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","joep_2a","YES","15","HZ69AJWC","journalArticle","2023","Angelopoulou, Theodora; Chabrillat, Sabine; Pignatti, Stefano; Milewski, Robert; Karyotis, Konstantinos; Brell, Maximilian; Ruhtz, Thomas; Bochtis, Dionysis; Zalidis, George","evaluation of airborne hyspex and spaceborne prisma hyperspectral remote sensing data for soil organic matter and carbonates estimation","Remote Sensing",NA,NA,"10.3390/rs15041106","https://login.ezproxy.leidenuniv.nl/login??url=https://www.proquest.com/scholarly-journals/evaluation-airborne-hyspex-spaceborne-prisma/docview/2779684539/se-2?accountid=12045","remote sensing and soil spectroscopy applications are valuable techniques for soil property estimation. soil organic matter (som) and calcium carbonate are important factors in soil quality, and although organic matter is well studied, calcium carbonates require more investigation. in this study, we validated the performance of laboratory soil spectroscopy for estimating the aforementioned properties with referenced in situ data. we also examined the performance of imaging spectroscopy sensors, such as the airborne hyspex and the spaceborne prisma. for this purpose, we applied four commonly used machine learning algorithms and six preprocessing methods for the evaluation of the best fitting algorithm.. the study took place over crop areas of amyntaio in northern greece, where extensive soil sampling was conducted. this is an area with a very variable mineralogical environment (from lignite mine to mountainous area). the som results were very good at the laboratory scale and for both remote sensing sensors with r2 = 0.79 for hyspex and r2 = 0.76 for prisma. regarding the calcium carbonate estimations, the remote sensing accuracy was r2 = 0.82 for hyspex and r2 = 0.36 for prisma. prisma was still in the commissioning phase at the time of the study, and therefore, the acquired image did not cover the whole study area. accuracies for calcium carbonates may be lower due to the smaller sample size used for the modeling procedure. the results show the potential for using quantitative predictions of som and the carbonate content based on soil and imaging spectroscopy at the air and spaceborne scales and for future applications using larger datasets.","2023","2024-01-16 09:03:49","2024-01-19 10:44:53",NA,"1106",NA,"4","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,"Publicly Available Content Database","2779684539",NA,NA,"Place: Basel Publisher: MDPI AG",NA,"; ","https://media.proquest.com/media/hms/PFT/1/DunmQ?_a=ChgyMDI0MDExNjA4MTUyNTcwOTo1OTM2OTASBjEwMjAyMBoKT05FX1NFQVJDSCIOMTMyLjIyOS45Mi4xMDAqBzIwMzIzMzgyCjI3Nzk2ODQ1Mzk6DURvY3VtZW50SW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAyMy8wMS8wMXIKMjAyMy8xMi8zMXoAggEhUC0xMDA5MjQwLTEyMDQ1LUZSRUUtbnVsbC02NDU0ODk3kgEGT25saW5lygF1TW96aWxsYS81LjAgKE1hY2ludG9zaDsgSW50ZWwgTWFjIE9TIFggMTBfMTVfNykgQXBwbGVXZWJLaXQvNTM3LjM2IChLSFRNTCwgbGlrZSBHZWNrbykgQ2hyb21lLzEyMC4wLjAuMCBTYWZhcmkvNTM3LjM20gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCK09TOkVNUy1NZWRpYUxpbmtzU2VydmljZS1nZXRNZWRpYVVybEZvckl0ZW3KAg9BcnRpY2xlfEZlYXR1cmXSAgFZ8gIA%2BgIBWYIDA1dlYooDHENJRDoyMDI0MDExNjA4MTUyNTcwOTo0MDI5NzY%3D&_s=UwCiw2ROowfcYbhoABjD6LE%2FK6Q%3D; http://catalogue.leidenuniv.nl/openurl/UBL/UBL_services_page?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apubliccontent&atitle=Evaluation+of+Airborne+HySpex+and+Spaceborne+PRISMA+Hyperspectral+Remote+Sensing+Data+for+Soil+Organic+Matter+and+Carbonates+Estimation&title=Remote+Sensing&issn=&date=2023-01-01&volume=15&issue=4&spage=1106&au=Angelopoulou%2C+Theodora%3BChabrillat%2C+Sabine%3BPignatti%2C+Stefano%3BMilewski%2C+Robert%3BKaryotis%2C+Konstantinos%3BBrell%2C+Maximilian%3BRuhtz%2C+Thomas%3BBochtis%2C+Dionysis%3BZalidis%2C+George&isbn=&jtitle=Remote+Sensing&btitle=&rft_id=info:eric/&rft_id=info:doi/10.3390%2Frs15041106","Accuracy; airborne; Airborne sensing; Algorithms; Analytical chemistry; Calcium carbonate; Carbonates; Data mining; Estimation; Greece; Hyperspectral imaging; Image acquisition; imaging spectroscopy; Laboratories; Lignite; Machine learning; Methods; Mountainous areas; organic carbon; Organic matter; Organic soils; Physics; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; remote sensing; Remote sensing; Remote sensors; satellite; Sensors; Soil organic matter; Soil properties; Soil quality; Soil sampling; soil spectroscopy; spectral modeling; Spectroscopy; Spectrum analysis; Wheat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
