"STUDY_ID","REVIEWERS","INCLUDE","STUDY_ID.1","REVIEWERS.1","INCLUDE.1","X","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"1","jonas_2b","YES","1","jonas_2a","YES","464","CVESJKWX","journalArticle","2022","Qin, Peng; Huang, Huabing; Tang, Hailong; Wang, Jie; Liu, Chong","mustfn: a spatiotemporal fusion method for multi-scale and multi-sensor remote sensing images based on a convolutional neural network","International Journal of Applied Earth Observation and Geoinformation",NA,"1569-8432","10.1016/j.jag.2022.103113","https://www.sciencedirect.com/science/article/pii/S1569843222003016","spatiotemporal data fusion is a commonly-used and well-proven technique to enhance the application potential of multi-source remote sensing images. however, most existing methods have trouble in generating quality fusion results when areas covered by the images undergoes rapid land cover changes or images have substantial registration errors. while deep learning algorithms have demonstrated their capabilities for imagery fusion, it is challenging to apply deep-learning-based fusion methods in regions that experiences persistent cloud covers and have limited cloud-free imagery observations. to address these challenges, we developed a multi-scene spatiotemporal fusion network (mustfn) algorithm based on a convolutional neural network (cnn). our approach uses multi-level features to fuse images at different resolutions acquired by multiple sensors. furthermore, mustfn uses the multi-scale features to overcome the effects of geometric registration errors between different images. additionally, a multi-constrained loss function is proposed to improve the accuracy of imagery fusion over large areas and solve fusion and gap-filling problems simultaneously by utilizing cloud-contaminated images with the fine-tuning method. compared with several commonly-used methods, our proposed mustfn performs better in fusing the 30-m landsat-7 images and 500-m modis images over a small area that has undergone large changes (the average relative mean absolute errors (rmae) of the first four bands are 6.8% by mustfn as compared to 14.1% by the enhanced spatial and temporal adaptive reflectance fusion model (estarfm), 12.8% by the flexible spatiotemporal data fusion (fsdaf), 8.4% by the extended super-resolution convolutional neural network (esrcnn), 8.1% by the spatiotemporal fusion using a generative adversarial network (stfgan)). in particularly for images at different resolutions with different registration accuracies (e.g., 16-m chinese gaofen-1 and 500-m modis), mustfn achieved fusion results of good quality with an average rmae of 9.3% in spectral reflectance at the first four bands. finally, we demonstrated the applicability of mustfn (average rmae of 9.18%) when fusing long-term landsat-8 composite images and modis images over a large region (830 km × 600 km). overall, our results suggest the effectiveness of mustfn to address the challenges in imagery fusion, including rapid land cover changes between image acquisition dates, geometric misregistration between images and limited availabilities of cloud-free images. the program of mustfn is freely available at: https://github.com/qpyeah/mustfn.","2022-12-01","2024-01-19 10:23:39","2024-01-19 10:23:39",NA,"103113",NA,NA,"115",NA,"International Journal of Applied Earth Observation and Geoinformation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CNN; Large-area image fusion; Multi-scale fusion scenarios; Multi-sensor satellite data; Spatiotemporal fusion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","jonas_2b","YES","2","jonas_2a","YES","519","7EQICEER","journalArticle","2023","TAO, Jian-bin; ZHANG, Xin-yue; WU, Qi-fan; WANG, Yun","mapping winter rapeseed in south china using sentinel-2 data based on a novel separability index","Journal of Integrative Agriculture",NA,"2095-3119","10.1016/j.jia.2022.10.008","https://www.sciencedirect.com/science/article/pii/S2095311922002581","large-scale crop mapping using remote sensing data is of great significance for agricultural production, food security and the sustainable development of human societies. winter rapeseed is an important oil crop in china that is mainly distributed in the yangtze river valley. traditional winter rapeseed mapping practices are insufficient since they only use the spectral characteristics during the critical phenological period of winter rapeseed, which are usually limited to a small region and cannot meet the needs of large-scale applications. in this study, a novel phenology-based winter rapeseed index (pwri) was proposed to map winter rapeseed in the yangtze river valley. pwri expands the date window for distinguishing winter rapeseed and winter wheat, and it has good separability throughout the flowering period of winter rapeseed. pwri also improves the separability of winter rapeseed and winter wheat, which traditionally have been two easily confused winter crops. a pwri-based method was applied to the middle reaches of the yangtze river valley to map winter rapeseed on the google earth engine platform. time series composited sentinel-2 data were used to map winter rapeseed with 10 m resolution. the mapping achieved a good result with overall accuracy and kappa coefficients exceeding 92% and 0.85, respectively. the pwri-based method provides a new solution for high spatial resolution winter rapeseed mapping at a large scale.","2023-06-01","2024-01-19 10:23:41","2024-01-19 10:23:41",NA,"1645-1657",NA,"6","22",NA,"Journal of Integrative Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Google Earth Engine; phenology-based winter rapeseed index; Sentinel-2; winter rapeseed mapping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","jonas_2b","NO","3","jonas_2a","YES","204","FRSMZC4I","journalArticle","2021","Bandyopadhyay, Sneha; Maiti, Subodh Kumar","application of statistical and machine learning approach for prediction of soil quality index formulated to evaluate trajectory of ecosystem recovery in coal mine degraded land","Ecological Engineering",NA,"0925-8574","10.1016/j.ecoleng.2021.106351","https://www.sciencedirect.com/science/article/pii/S0925857421002068","analytical tools for evaluating reclamation success in terms of soil quality are the prime requisite in order to address sustainable mining issues. identification of the influential parameters of reclamation success and prediction of soil health in terms of soil quality indexing and modelling remain obscure. therefore, the present study aims to formulate reclaimed mine soil quality index (rmsqi) using the indicator selection method and scoring function analysis. furthermore, for identification of the relationship between rmsqi and predictor variables, statistical (multiple linear regression; mlr) and machine learning (random forest; rf) approaches were applied to determine the suitable soil quality assessment technique for chronosequence afforested post-mining site in india. the results indicated that the organic carbon, exchangeable potassium, cation exchange capacity, sand percentage, microbial biomass carbon, dehydrogenase activity and fluorescein diacetate acitivity were the most influential variables impacting soil quality. the linear scoring-minimum dataset (lsf-mds) was considered as the most suitable approach to estimate rmsqi due to its highest correlation coefficients f, and coefficient of variance (cv) values. the lower error matrices and higher r2 for rf than mlr indicating the aptness of rf model in predicting soil quality in terms of evaluation of reclamation success. the present study concluded that the superiority of rf is associated with its ability to address hierarchical and non-linear relationship between rmsqi and its predictors.","2021-11-01","2024-01-19 10:23:22","2024-01-19 10:23:22",NA,"106351",NA,NA,"170",NA,"Ecological Engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multiple linear regression (MLR); Random Forest (RF) model; Reclaimed Mine Soil Quality Index (RMSQI); Reclamation success; Soil quality assessment; Sustainable mining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","jonas_2b","NO","5","jonas_2a","YES","224","SRFCZKAW","journalArticle","2021","Ismael, Mohamedelfatieh; Mokhtar, Ali; Farooq, Muhammad; Lü, Xin","assessing drinking water quality based on physical, chemical and microbial parameters in the red sea state, sudan using a combination of water quality index and artificial neural network model","Groundwater for Sustainable Development",NA,"2352-801X","10.1016/j.gsd.2021.100612","https://www.sciencedirect.com/science/article/pii/S2352801X21000692","this study aimed to assess the quality of water resources, and its suitability for the drinking uses in red sea state, sudan. particularly, with regard to international standards from the world health organization (who/2017), and the national standards from sudanese standard and meteorology organization for drinking water (sds-044/2007). twenty locations site were investigated to represent this important area, where its analysed for compliance with the national and international standards, furthermore, the suitability for drinking purpose was assessed by using water quality index (wqi) method. artificial neural network (ann) was applied to predict the qwi by using the algorithm of feed forward back propagation artificial neural networks (bp ann) for optimization. physio-chemical assessments indicated that, water resources did not conform to the safe limits, especially heavy metals likes cadmium, which has the highest concentrations-hazard in almost all samples. high lead levels were observed at nineteen sites, while a high concentrations of nickel, and total dissolved solids were observed at seven locations. the microbial assessment indicated most of locations did not conform to the safe limits, a high bacteria –hazard for total coliform and escherichia coli were observed in fourteen, and seven locations, respectively. computed wqi values ranged from 35.61 to 337.52. ann model showed much high prediction accuracy of wqi modeling with r2 values greater than 0.95 during training, testing and validation. wqi spatial distribution shown that, red sea state has unsuitable water quality in most of study sites (70%). the effects of heavy pollutants dominated on the water quality, and spread in these regions. this study conducted the first full-scale survey of the drinking water sources (ground and surface) in the red sea state of sudan. based on these results, we recommended that, an urgent measures such as a chemical treatments to treat the pollution, with/or filters installation should be implemented as soon as possible to manage and protect the water resources.","2021-08-01","2024-01-19 10:23:26","2024-01-19 10:23:26",NA,"100612",NA,NA,"14",NA,"Groundwater for Sustainable Development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial neural networks (ANN); Heavy metals; Red sea state; SDS Limits; Sudan; Water quality index (WQI); WHO Limits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","jonas_2b","YES","6","jonas_2a","YES","136","58JA39DV","journalArticle","2020","Shaharum, Nur Shafira Nisa; Shafri, Helmi Zulhaidi Mohd; Ghani, Wan Azlina Wan Ab Karim; Samsatli, Sheila; Al-Habshi, Mohammed Mustafa Abdulrahman; Yusuf, Badronnisa","oil palm mapping over peninsular malaysia using google earth engine and machine learning algorithms","Remote Sensing Applications: Society and Environment",NA,"2352-9385","10.1016/j.rsase.2020.100287","https://www.sciencedirect.com/science/article/pii/S2352938519303337","oil palm plays a pivotal role in the ecosystem, environment, economy and without proper monitoring, uncontrolled oil palm activities could contribute to deforestation that can cause high negative impacts on the environment and therefore, proper management and monitoring of the oil palm industry are necessary. mapping the distribution of oil palm is crucial in order to manage and plan the sustainable operations of oil palm plantations. remote sensing provides a means to detect and map oil palm from space effectively. recent advances in cloud computing and big data allow rapid mapping to be performed over large a geographical scale. in this study, 30 m landsat 8 data were processed using a cloud computing platform of google earth engine (gee) in order to classify oil palm land cover using non-parametric machine learning algorithms such as support vector machine (svm), classification and regression tree (cart) and random forest (rf) for the first time over peninsular malaysia. the hyperparameters were tuned, and the overall accuracy produced by the svm, cart and rf were 93.16%, 80.08% and 86.50% respectively. overall, the svm classified the 7 classes (water, built-up, bare soil, forest, oil palm, other vegetation and paddy) the best. however, rf extracted oil palm information better than the svm. the algorithms were compared and the mcnemar's test showed significant values for comparisons between svm and cart and rf and cart. on the other hand, the performance of svm and rf are considered equally effective. despite the challenges in implementing machine learning optimisation using gee over a large area, this paper shows the efficiency of gee as a cloud-based free platform to perform bioresource distributions mapping such as oil palm over a large area in peninsular malaysia.","2020-01-01","2024-01-19 10:23:09","2024-01-19 10:23:09",NA,"100287",NA,NA,"17",NA,"Remote Sensing Applications: Society and Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cloud computing; Image classification; Landsat; Machine learning; Oil palm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","jonas_2b","YES","10","jonas_2a","YES","15","HZ69AJWC","journalArticle","2023","Angelopoulou, Theodora; Chabrillat, Sabine; Pignatti, Stefano; Milewski, Robert; Karyotis, Konstantinos; Brell, Maximilian; Ruhtz, Thomas; Bochtis, Dionysis; Zalidis, George","evaluation of airborne hyspex and spaceborne prisma hyperspectral remote sensing data for soil organic matter and carbonates estimation","Remote Sensing",NA,NA,"10.3390/rs15041106","https://login.ezproxy.leidenuniv.nl/login??url=https://www.proquest.com/scholarly-journals/evaluation-airborne-hyspex-spaceborne-prisma/docview/2779684539/se-2?accountid=12045","remote sensing and soil spectroscopy applications are valuable techniques for soil property estimation. soil organic matter (som) and calcium carbonate are important factors in soil quality, and although organic matter is well studied, calcium carbonates require more investigation. in this study, we validated the performance of laboratory soil spectroscopy for estimating the aforementioned properties with referenced in situ data. we also examined the performance of imaging spectroscopy sensors, such as the airborne hyspex and the spaceborne prisma. for this purpose, we applied four commonly used machine learning algorithms and six preprocessing methods for the evaluation of the best fitting algorithm.. the study took place over crop areas of amyntaio in northern greece, where extensive soil sampling was conducted. this is an area with a very variable mineralogical environment (from lignite mine to mountainous area). the som results were very good at the laboratory scale and for both remote sensing sensors with r2 = 0.79 for hyspex and r2 = 0.76 for prisma. regarding the calcium carbonate estimations, the remote sensing accuracy was r2 = 0.82 for hyspex and r2 = 0.36 for prisma. prisma was still in the commissioning phase at the time of the study, and therefore, the acquired image did not cover the whole study area. accuracies for calcium carbonates may be lower due to the smaller sample size used for the modeling procedure. the results show the potential for using quantitative predictions of som and the carbonate content based on soil and imaging spectroscopy at the air and spaceborne scales and for future applications using larger datasets.","2023","2024-01-16 09:03:49","2024-01-19 10:44:53",NA,"1106",NA,"4","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,"Publicly Available Content Database","2779684539",NA,NA,"Place: Basel Publisher: MDPI AG",NA,"; ","https://media.proquest.com/media/hms/PFT/1/DunmQ?_a=ChgyMDI0MDExNjA4MTUyNTcwOTo1OTM2OTASBjEwMjAyMBoKT05FX1NFQVJDSCIOMTMyLjIyOS45Mi4xMDAqBzIwMzIzMzgyCjI3Nzk2ODQ1Mzk6DURvY3VtZW50SW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAyMy8wMS8wMXIKMjAyMy8xMi8zMXoAggEhUC0xMDA5MjQwLTEyMDQ1LUZSRUUtbnVsbC02NDU0ODk3kgEGT25saW5lygF1TW96aWxsYS81LjAgKE1hY2ludG9zaDsgSW50ZWwgTWFjIE9TIFggMTBfMTVfNykgQXBwbGVXZWJLaXQvNTM3LjM2IChLSFRNTCwgbGlrZSBHZWNrbykgQ2hyb21lLzEyMC4wLjAuMCBTYWZhcmkvNTM3LjM20gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCK09TOkVNUy1NZWRpYUxpbmtzU2VydmljZS1nZXRNZWRpYVVybEZvckl0ZW3KAg9BcnRpY2xlfEZlYXR1cmXSAgFZ8gIA%2BgIBWYIDA1dlYooDHENJRDoyMDI0MDExNjA4MTUyNTcwOTo0MDI5NzY%3D&_s=UwCiw2ROowfcYbhoABjD6LE%2FK6Q%3D; http://catalogue.leidenuniv.nl/openurl/UBL/UBL_services_page?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apubliccontent&atitle=Evaluation+of+Airborne+HySpex+and+Spaceborne+PRISMA+Hyperspectral+Remote+Sensing+Data+for+Soil+Organic+Matter+and+Carbonates+Estimation&title=Remote+Sensing&issn=&date=2023-01-01&volume=15&issue=4&spage=1106&au=Angelopoulou%2C+Theodora%3BChabrillat%2C+Sabine%3BPignatti%2C+Stefano%3BMilewski%2C+Robert%3BKaryotis%2C+Konstantinos%3BBrell%2C+Maximilian%3BRuhtz%2C+Thomas%3BBochtis%2C+Dionysis%3BZalidis%2C+George&isbn=&jtitle=Remote+Sensing&btitle=&rft_id=info:eric/&rft_id=info:doi/10.3390%2Frs15041106","Accuracy; airborne; Airborne sensing; Algorithms; Analytical chemistry; Calcium carbonate; Carbonates; Data mining; Estimation; Greece; Hyperspectral imaging; Image acquisition; imaging spectroscopy; Laboratories; Lignite; Machine learning; Methods; Mountainous areas; organic carbon; Organic matter; Organic soils; Physics; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; remote sensing; Remote sensing; Remote sensors; satellite; Sensors; Soil organic matter; Soil properties; Soil quality; Soil sampling; soil spectroscopy; spectral modeling; Spectroscopy; Spectrum analysis; Wheat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","jonas_2b","YES","11","jonas_2a","YES","418","NXBKAHPV","journalArticle","2020","Saha, Sunil; Saha, Mantosh; Mukherjee, Kaustuv; Arabameri, Alireza; Ngo, Phuong Thao Thi; Paul, Gopal Chandra","predicting the deforestation probability using the binary logistic regression, random forest, ensemble rotational forest, reptree: a case study at the gumani river basin, india","Science of The Total Environment",NA,"0048-9697","10.1016/j.scitotenv.2020.139197","https://www.sciencedirect.com/science/article/pii/S0048969720327145","rapid population growth and its corresponding effects like the expansion of human settlement, increasing agricultural land, and industry lead to the loss of forest area in most parts of the world especially in such highly populated nations like india. forest canopy density (fcd) is a useful measure to assess the forest cover change in its own as numerous works of forest change have been done using only fcd with the help of remote sensing and gis. the coupling of binary logistic regression (blr), random forest (rf), ensemble of rotational forest and reduced error pruning trees (rtf-reptree) with fcd makes it more convenient to find out the deforestation probability. advanced vegetation index (avi), bare soil index (bsi), shadow index (si), and scaled vegetation density (vd) derived from landsat imageries are the main input parameters to identify the fcd. after preparing the fcds of 1990, 2000, 2010 and 2017 the deforestation map of the study area was prepared and considered as dependent parameter for deforestation probability modelling. on the other hand, twelve deforestation determining factors were used to delineate the deforestation probability with the help of blr, rf and rtf-reptree models. these deforestation probability models were validated through area under curve (auc), receiver operating characteristics (roc), efficiency, true skill statistics (tss) and kappa co-efficient. the validation result shows that all the models like blr (auc = 0.874), rf (auc = 0.886) and rtf-reptree (auc = 0.919) have good capability of assessing the deforestation probability but among them, rtf-reptree has the highest accuracy level. the result also shows that low canopy density area i.e. not under the dense forest cover has increased by 9.26% from 1990 to 2017. besides, nearly 30% of the forested land is under high to very high deforestation probable zone, which needs to be protected with immediate measures.","2020-08-15","2024-01-19 10:23:36","2024-01-19 10:23:36",NA,"139197",NA,NA,"730",NA,"Science of The Total Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deforestation; Ensemble model; Forest canopy density; Machine learning algorithms; Probabilistic model",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","jonas_2b","YES","14","jonas_2a","YES","677","Q2KUG6Z2","journalArticle","2022","Gxokwe, Siyamthanda; Dube, Timothy; Mazvimavi, Dominic; Grenfell, Michael","using cloud computing techniques to monitor long-term variations in ecohydrological dynamics of small seasonally-flooded wetlands in semi-arid south africa","Journal of Hydrology",NA,"0022-1694","10.1016/j.jhydrol.2022.128080","https://www.sciencedirect.com/science/article/pii/S0022169422006552","wetlands in drylands have high inter- and intra-annual ecohydrological variations that are driven to a great extent by climate variability and anthropogenic influences. the ramsar convention on wetlands encourages the development of frameworks for national action and international cooperation for ensuring conservation and wise use of wetlands and their resources at local, national and regional scales. however, the implementation of these frameworks remains a challenge. this is mainly due to limited availability of high-resolution data and suitable big data processing techniques for assessing and monitoring wetland ecohydrological dynamics at large spatial scales, particularly in the sub-saharan african region. the availability of cloud computing platforms such as google earth engine (gee) offers unique big data handling and processing opportunities to address some of these challenges. in this study, we applied the gee cloud computing platform to monitor the long-term ecohydrological dynamics of a seasonally flooded part of the nylsvley floodplain wetland complex in north-eastern south africa over a 20-year period (2000–2020). the specific objectives of the study were 1) to evaluate wetland ecohydrological dynamics using the 20-year multi-date landsat composite data coupled with the random forest machine learning algorithm, and 2) to establish the major drivers of wetland ecohydrological changes, using selected spectral indices (i.e. normalised difference vegetation index (ndvi), normalised difference water index (ndwi) and normalised difference phenology index (ndpi)) coupled with climate data. the ecohydrology of the wetland changed over time, with some classes increasing twice when compared to the previous measurement, while others decreasing significantly during the study period. notably, the bare surface class increased at rates of 230% and 350% between 2006–2010 and 2016–2020, respectively. moreover, the indices showed similar trends throughout the 20-year period, with ndwi having minimum values less than zero in all cases. this implied no surface inundation, although the presence of some wetland vegetation indicated seasonal to semi-permanent soil saturation conditions. a comparative analysis of climate data and remotely sensed indices showed that annual changes of precipitation and evapotranspiration were the main drivers of wetland ecohydrological variations. the findings of the study underscore the relevance of cloud computing artificial intelligence techniques, and particularly the gee platform, in evaluating wetland ecohydrological dynamics for semi-arid southern african systems which are deteriorating due to the unsustainable use and poor management resulting from limited knowledge about their changes over time.","2022-09-01","2024-01-19 10:23:46","2024-01-19 10:23:46",NA,"128080",NA,NA,"612",NA,"Journal of Hydrology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial intelligence; Dryland wetland; Ephemeral wetland; Machine learning algorithm; Wetland condition; Wetland management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","jonas_2b","maybe","17","jonas_2a","YES","103","QUVNAEK3","journalArticle","2020","Ahmed, N; Mahbub, RB; Hossain, MM; Sujauddin, M","modelling spatio-temporal changes of tropical forest cover in the north-eastern region of bangladesh","Journal of Tropical Forest Science",NA,"01281283, 25219847","10.26525/jtfs32.1.42","https://www.jstor.org/stable/26872818","[forests in bangladesh are losing their land footprint mainly due to anthropogenic onslaught. not much is known about the changes in tropical forest cover in sylhet forest division (sfd) of bangladesh in the backdrop of mixed managerial paradigms (i.e. traditionally managed and co-managed). this study was aimed at (1) modelling changes in forest cover over the temporal domain 1988–2018, (2) projecting future gain/loss of forest cover, and (3) comparing changes between areas under co-management and traditional management. the study was based on satellite image pixel classification through machine learning, area interpolation, regression-based modelling for forest cover and future projections. sfd, comprising 18 forests, has been grouped into 10 forest patches for analysis. mean forest cover area was 121,533 ha in 1988–1997, which declined to 120,216 ha in 1998–2007. comparison between the area values of the two time intervals showed that the forest cover area has increased from 120,216 ha in 1998–2007 to 124,556 ha in 2007–2018. in the managerial perspective, the study showed aggregated loss in patches under co-management and aggregated gain in patches under traditional forest management. this study has legislative implications from managerial perspective of forest cover changes.]","2020","2024-01-19 10:21:47","2024-01-19 10:21:53","2024-01-15","42-51",NA,"1","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JSTOR",NA,NA,NA,"Publisher: Forest Research Institute Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","jonas_2b","YES","18","jonas_2a","YES","392","B94BQ4N3","journalArticle","2019","Román Dobarco, M.; Bourennane, Hocine; Arrouays, Dominique; Saby, Nicolas P.A.; Cousin, Isabelle; Martin, Manuel P.","uncertainty assessment of globalsoilmap soil available water capacity products: a french case study","Geoderma",NA,"0016-7061","10.1016/j.geoderma.2019.02.036","https://www.sciencedirect.com/science/article/pii/S0016706118319529","plant available water capacity (awc) refers to the maximum amount of water that a soil can store and provide to plant roots. spatial predictions of awc through digital soil mapping at high resolution and national extent provide relevant information for upscaling ecological and hydrological models, and assessment of the provision of ecosystem services like water quantity and quality regulation, carbon sequestration, and provision of food and raw materials. however, the spatial predictions of awc are prone to errors and uncertainties. moreover, this digital soil mapping process requires using pedotransfer functions (ptfs) due to the lack of sufficient georeferenced measurements of the upper (i.e., soil moisture at field capacity, θfc) and lower (i.e., soil moisture at permanent wilting point, θpwp) limits of soil moisture contents defining awc. this adds an additional source of uncertainty to the final estimates of awc. the objectives of this study were: 1) to predict awc for mainland france following the globalsoilmap (gsm) project specifications on depth intervals and uncertainty, and 2) to quantify the uncertainty of awc accounting for uncertainty of the soil input variables and the ptfs' coefficients. we first predicted the soil input properties by gsm layer (0–5, 5–15, 15–30, 30–60, 60–100, 100–200 cm), and then applied ptfs for estimating θfc, θpwp, and volumetric awc (cm3 cm−3). the volume of coarse elements by gsm layer was subtracted before aggregating awc to estimated soil depth for a maximum of 2 m. the uncertainty of awc was quantified by first-order taylor analysis. independent evaluation indicated that clay had the lowest r2 (clay r2 = 0.27, silt r2 = 0.43 and sand r2 = 0.46) and rmse (clay rmse = 128 g kg−1, silt rmse = 139 g kg−1 and sand rmse = 172 g kg−1) from the three particle size fractions. however, the model for coarse elements had the worst predictive performance (r2 = 0.14 and rmse = 21%) among all awc input variables. the performance of the gsm predictions for θfc and θpwp had a r2 of 0.21 and 0.29. when the ptfs were applied to the spatial predictions of sand and clay, the rmse for θfc and θpwp had a relative increase of 25% and 36% respectively compared to when they were applied to measured horizon data. across the majority of mainland france, the main sources of uncertainty of elementary awc were coarse elements and soil texture, but the contribution of uncertainty of ptfs' coefficients increased in areas dominated by very sandy and clayey textures. an advantage of the produced maps of θfc, θpwp and awc is that the end users can incorporate associated uncertainties into ecological and agricultural modelling, and decision-making processes involved in soil and water planning.","2019-06-15","2024-01-19 10:23:35","2024-01-19 10:23:35",NA,"14-30",NA,NA,"344",NA,"Geoderma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Digital soil mapping; Pedotransfer function; Soil available water capacity; Soil moisture at field capacity; Soil moisture at permanent wilting point",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
