"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A9UDTMQV","journalArticle","2023","Thapa, Aakash; Horanont, Teerayut; Neupane, Bipul; Aryal, Jagannath","Deep Learning for Remote Sensing Image Scene Classification: A Review and Meta-Analysis","Remote Sensing","","2072-4292","10.3390/rs15194804","https://www.mdpi.com/2072-4292/15/19/4804","Remote sensing image scene classiﬁcation with deep learning (DL) is a rapidly growing ﬁeld that has gained signiﬁcant attention in the past few years. While previous review papers in this domain have been conﬁned to 2020, an up-to-date review to show the progression of research extending into the present phase is lacking. In this review, we explore the recent articles, providing a thorough classiﬁcation of approaches into three main categories: Convolutional Neural Network (CNN)-based, Vision Transformer (ViT)-based, and Generative Adversarial Network (GAN)-based architectures. Notably, within the CNN-based category, we further reﬁne the classiﬁcation based on speciﬁc methodologies and techniques employed. In addition, a novel and rigorous meta-analysis is performed to synthesize and analyze the ﬁndings from 50 peer-reviewed journal articles to provide valuable insights in this domain, surpassing the scope of existing review articles. Our meta-analysis shows that the most adopted remote sensing scene datasets are AID (41 articles) and NWPU-RESISC45 (40). A notable paradigm shift is seen towards the use of transformer-based models (6) starting from 2021. Furthermore, we critically discuss the ﬁndings from the review and meta-analysis, identifying challenges and future opportunities for improvement in this domain. Our up-to-date study serves as an invaluable resource for researchers seeking to contribute to this growing area of research.","2023-10-02","2023-11-22 12:12:57","2023-11-22 12:12:57","2023-11-22 12:12:57","4804","","19","15","","Remote Sensing","Deep Learning for Remote Sensing Image Scene Classification","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/ninaleach/Zotero/storage/5BAYLRLZ/Thapa et al. - 2023 - Deep Learning for Remote Sensing Image Scene Class.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTGTDDVQ","journalArticle","2021","Lavallin, Abigail; Downs, Joni A.","Machine learning in geography–Past, present, and future","Geography Compass","","1749-8198, 1749-8198","10.1111/gec3.12563","https://compass.onlinelibrary.wiley.com/doi/10.1111/gec3.12563","Abstract             This paper concentrates on the different meanings of machine learning (ML) from its origins to the present and potential future, focusing on contributions within the discipline of geography. Understanding the history of ML is important both for understanding current trends and predicting future applications. The 1950s saw the first idea of ML with the Turing Test, which was described as a ‘learning machine’ that could acquire information and become artificially intelligent. This thought prevailed until the 1960s with the release of Perceptron I, which caused a shift to attempt to code computers to learn from input data in order to run like a human brain. The 1980s and 1990s saw the advancement of computing technologies which enabled ML within artificial intelligence to prosper. The development of artificial neural networks during this time shifted ML from a knowledge‐driven approach to a data‐driven one. The 2000s saw ML becoming more widespread within geography and other disciplines as unsupervised methods enabled the analysis of large data sets. More recently, deep learning emerged to enable processes to be integrated into many software services and applications. Present day ML has been defined by Stanford University (2017) as “the science of getting computers to act without being explicitly programmed”. Academic research alongside industry and government investments in ML now account for some of the most important technological advancements. The use of ML within geography has been increasing at a rapid rate paving the way for future advancements in the discipline.","2021-05","2023-11-22 12:13:09","2023-11-22 12:13:09","2023-11-22 12:13:09","e12563","","5","15","","Geography Compass","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/ninaleach/Zotero/storage/G5HT9FVR/Lavallin and Downs - 2021 - Machine learning in geography–Past, present, and f.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PG5U93RV","journalArticle","2016","Khatami, Reza; Mountrakis, Giorgos; Stehman, Stephen V.","A meta-analysis of remote sensing research on supervised pixel-based land-cover image classification processes: General guidelines for practitioners and future research","Remote Sensing of Environment","","0034-4257","10.1016/j.rse.2016.02.028","https://www.sciencedirect.com/science/article/pii/S0034425716300578","Classification of remotely sensed imagery for land-cover mapping purposes has attracted significant attention from researchers and practitioners. Numerous studies conducted over several decades have investigated a broad array of input data and classification methods. However, this vast assemblage of research results has not been synthesized to provide coherent guidance on the relative performance of different classification processes for generating land cover products. To address this problem, we completed a statistical meta-analysis of the past 15years of research on supervised per-pixel image classification published in five high-impact remote sensing journals. The two general factors evaluated were classification algorithms and input data manipulation as these are factors that can be controlled by analysts to improve classification accuracy. The meta-analysis revealed that inclusion of texture information yielded the greatest improvement in overall accuracy of land-cover classification with an average increase of 12.1%. This increase in accuracy can be attributed to the additional spatial context information provided by including texture. Inclusion of ancillary data, multi-angle and time images also provided significant improvement in classification overall accuracy, with 8.5%, 8.0%, and 6.9% of average improvements, respectively. In contrast, other manipulation of spectral information such as index creation (e.g. Normalized Difference Vegetation Index) and feature extraction (e.g. Principal Components Analysis) offered much smaller improvements in accuracy. In terms of classification algorithms, support vector machines achieved the greatest accuracy, followed by neural network methods. The random forest classifier performed considerably better than the traditional decision tree classifier. Maximum likelihood classifiers, often used as benchmarking algorithms, offered low accuracy. Our findings will help guide practitioners to decide which classification to implement and also provide direction to researchers regarding comparative studies that will further solidify our understanding of different classification processes. However, these general guidelines do not preclude an analyst from incorporating personal preferences or considering specific algorithmic benefits that may be pertinent to a particular application.","2016-05-01","2023-11-22 12:17:59","2023-11-22 12:17:59","2023-11-22 12:17:59","89-100","","","177","","Remote Sensing of Environment","A meta-analysis of remote sensing research on supervised pixel-based land-cover image classification processes","","","","","","","","","","","","ScienceDirect","","","","/Users/ninaleach/Zotero/storage/HM5D5A2Z/Khatami et al. - 2016 - A meta-analysis of remote sensing research on supe.pdf; /Users/ninaleach/Zotero/storage/UBG72C56/S0034425716300578.html","","","Classification accuracy; Environmental monitoring; Indices; Land cover mapping; Machine learning; Multi-time/angle imagery; Remote sensing; Support vector machines; Texture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D6TC7UQJ","journalArticle","2022","Jafarzadeh, Hamid; Mahdianpari, Masoud; Gill, Eric W.; Brisco, Brian; Mohammadimanesh, Fariba","Remote Sensing and Machine Learning Tools to Support Wetland Monitoring: A Meta-Analysis of Three Decades of Research","Remote Sensing","","2072-4292","10.3390/rs14236104","https://www.mdpi.com/2072-4292/14/23/6104","Despite their importance to ecosystem services, wetlands are threatened by pollution and development. Over the last few decades, a growing number of wetland studies employed remote sensing (RS) to scientifically monitor the status of wetlands and support their sustainability. Considering the rapid evolution of wetland studies and significant progress that has been made in the field, this paper constitutes an overview of studies utilizing RS methods in wetland monitoring. It investigates publications from 1990 up to the middle of 2022, providing a systematic survey on RS data type, machine learning (ML) tools, publication details (e.g., authors, affiliations, citations, and publications date), case studies, accuracy metrics, and other parameters of interest for RS-based wetland studies by covering 344 papers. The RS data and ML combination is deemed helpful for wetland monitoring and multi-proxy studies, and it may open up new perspectives for research studies. In a rapidly changing wetlands landscape, integrating multiple RS data types and ML algorithms is an opportunity to advance science support for management decisions. This paper provides insight into the selection of suitable ML and RS data types for the detailed monitoring of wetland-associated systems. The synthesized findings of this paper are essential to determining best practices for environmental management, restoration, and conservation of wetlands. This meta-analysis establishes avenues for future research and outlines a baseline framework to facilitate further scientific research using the latest state-of-art ML tools for processing RS data. Overall, the present work recommends that wetland sustainability requires a special land-use policy and relevant protocols, regulation, and/or legislation.","2022-01","2023-11-22 12:42:45","2023-11-22 12:42:45","2023-11-22 12:42:45","6104","","23","14","","","Remote Sensing and Machine Learning Tools to Support Wetland Monitoring","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 23 Publisher: Multidisciplinary Digital Publishing Institute","","/Users/ninaleach/Zotero/storage/TSJC6THN/Jafarzadeh et al. - 2022 - Remote Sensing and Machine Learning Tools to Suppo.pdf","","","machine learning; meta-analysis; remote sensing; systematic review; wetlands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHDCN9KN","journalArticle","2019","Anshuka, Anshuka; van Ogtrop, Floris F.; Willem Vervoort, R.","Drought forecasting through statistical models using standardised precipitation index: a systematic review and meta-regression analysis","Natural Hazards","","1573-0840","10.1007/s11069-019-03665-6","https://doi.org/10.1007/s11069-019-03665-6","Quality and reliable drought prediction is essential for mitigation strategies and planning in disaster-stricken regions globally. Prediction models such as empirical or data-driven models play a fundamental role in forecasting drought. However, selecting a suitable prediction model remains a challenge because of the lack of succinct information available on model performance. Therefore, this review evaluated the best model for drought forecasting and determined which differences if any were present in model performance using standardised precipitation index (SPI). In addition, the most effective combination of the SPI with its respective timescale and lead time was investigated. The effectiveness of data-driven models was analysed using meta-regression analysis by applying a linear mixed model to the coefficient of determination and the root mean square error of the validated model results. Wavelet-transformed neural networks had superior performance with the highest correlation and minimum error. Preprocessing data to eliminate non-stationarity performed substantially better than did the regular artificial neural network (ANN) model. Additionally, the best timescale to calculate the SPI was 24 and 12 months and a lead time of 1–3 months provided the most accurate forecasts. Studies from China and Sicily had the most variation based on geographical location as a random effect; while studies from India rendered consistent results overall. Variation in the result can be attributed to geographical differences, seasonal influence, incorporation of climate indices and author bias. Conclusively, this review recommends use of the wavelet-based ANN (WANN) model to forecast drought indices.","2019-06-01","2023-11-22 15:05:19","2023-11-22 15:05:23","2023-11-22 15:05:19","955-977","","2","97","","Nat Hazards","Drought forecasting through statistical models using standardised precipitation index","","","","","","","en","","","","","Springer Link","","","","/Users/ninaleach/Zotero/storage/KMR7FPKP/Anshuka et al. - 2019 - Drought forecasting through statistical models usi.pdf","","","Drought forecasting; Meta-regression analysis; Model performance; Standardised precipitation index","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K7L57YNV","journalArticle","2022","Hanadé Houmma, Ismaguil; El Mansouri, Loubna; Gadal, Sébastien; Garba, Maman; Hadria, Rachid","Modelling agricultural drought: a review of latest advances in big data technologies","Geomatics, Natural Hazards and Risk","","1947-5705","10.1080/19475705.2022.2131471","https://doi.org/10.1080/19475705.2022.2131471","This article reviews the main recent applications of multi-sensor remote sensing and Artificial Intelligence techniques in multivariate modelling of agricultural drought. The study focused mainly on three fundamental aspects, namely descriptive modelling, predictive modelling, and spatial modelling of expected risks and vulnerability to drought. Thus, out of 417 articles across all studies on drought, 226 articles published from 2010 to 2022 were analyzed to provide a global overview of the current state of knowledge on multivariate drought modelling using the inclusion criteria. The main objective is to review the recent available scientific evidence regarding multivariate drought modelling based on the joint use of geospatial technologies and artificial intelligence. The analysis focused on the different methods used, the choice of algorithms and the most relevant variables depending on whether they are descriptive or predictive models. Criteria such as the skill score, the given game complexity used, and the nature of validation data were considered to draw the main conclusions. The results highlight the very heterogeneous nature of studies on multivariate modelling of agricultural drought, and the very original nature of studies on multivariate modelling of agricultural drought in the recent literature. For future studies, in addition to scientific advances in prospects, case studies and comparative studies appear necessary for an in-depth analysis of the reproducibility and operational applicability of the different approaches proposed for spatial and temporal modelling of agricultural drought. HIGHLIGHTSThe components and fundamentals of multivariate modelling of agricultural drought were discussed.The importance of hybrid artificial intelligence models is widely discussed in improving the performance of traditional machine learning models.Quantum machine learning algorithms are weakly explored in multivariate drought modelling. Therefore, future studies should explore this approach.The major challenge of multivariate modelling of drought frequency is mainly related to the difference in the return periods of the different variables (time-shifted and spatially effects).","2022-12-31","2023-11-22 15:07:20","2023-11-22 15:07:20","2023-11-22 15:07:20","2737-2776","","1","13","","","Modelling agricultural drought","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/19475705.2022.2131471","","/Users/ninaleach/Zotero/storage/JE2UBV7E/Hanadé Houmma et al. - 2022 - Modelling agricultural drought a review of latest.pdf","","","machine learning; agricultural drought indices; artificial intelligence; drought frequency; Multi-sensor modelling; multivariate drought modelling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAZPTQ5H","journalArticle","2022","Zhao, Qiang; Yu, Le; Du, Zhenrong; Peng, Dailiang; Hao, Pengyu; Zhang, Yongguang; Gong, Peng","An Overview of the Applications of Earth Observation Satellite Data: Impacts and Future Trends","Remote Sensing","","2072-4292","10.3390/rs14081863","https://www.mdpi.com/2072-4292/14/8/1863","As satellite observation technology develops and the number of Earth observation (EO) satellites increases, satellite observations have become essential to developments in the understanding of the Earth and its environment. However, the current impacts to the remote sensing community of different EO satellite data and possible future trends of EO satellite data applications have not been systematically examined. In this paper, we review the impacts of and future trends in the use of EO satellite data based on an analysis of data from 15 EO satellites whose data are widely used. Articles that reference EO satellite missions included in the Web of Science core collection for 2020 were analyzed using scientometric analysis and meta-analysis. We found the following: (1) the number of publications and citations referencing EO satellites is increasing exponentially; however, the number of articles referencing AVHRR, SPOT, and TerraSAR is tending to decrease; (2) papers related to EO satellites are concentrated in a small number of journals: 43.79% of the articles that were reviewed were published in only 13 journals; and (3) remote sensing impact factor (RSIF), a new impact index, was constructed to measure the impacts of EO satellites and to predict future trends in applications of their data. Landsat, Sentinel, MODIS, Gaofen, and WorldView were found to be the most significant current EO satellite missions and MODIS data to have the widest range of applications. Over the next five years (2021–2025), it is expected that Sentinel will become the satellite mission with the greatest influence.","2022-04-13","2023-12-07 14:19:21","2023-12-07 14:19:21","2023-12-07 14:19:21","1863","","8","14","","Remote Sensing","An Overview of the Applications of Earth Observation Satellite Data","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8WPC8M2","journalArticle","2023","Chen, Guolong; Yang, Ruixia; Zhao, Xiangli; Li, Lanyi; Luo, Lei; Liu, Honghao","Bibliometric Analysis of Spatial Technology for World Heritage: Application, Trend and Potential Paths","Remote Sensing","","2072-4292","10.3390/rs15194695","https://www.mdpi.com/2072-4292/15/19/4695","World heritage sites are monuments and natural landscapes recognised by all humanity as being of outstanding significance and universal value. Spatial technology provides new ideas for the conservation and sustainable development of world heritage sites. Using a bibliometric analysis, this study extracted 401 relevant documents from the Web of Science database from 1990–2022. Meta information, such as abstracts, keywords of the papers were extracted and cleaned using bibliometric package and analysed the applications, partnerships and development trends of existing spatial technologies for world heritage sites. The results of the study show the “4D” characteristics of space technology in world heritage sites: (1) Development: Spatial applications in world heritage sites have gradually developed with an annual growth rate of 10.22% during the period 1990–2022. (2) Discrepancy: More than 70 per cent of countries have not been able to fully apply space technology on the ground at world heritage sites. (3) Desirability: Shared exchanges between research institutions are rare, and more cooperation and exchanges are expected, especially between transnationals. (4) Diversity: The future outlook for technology will be multidisciplinary, multi-method integrated research.","2023-09-25","2023-12-07 13:50:29","2023-12-07 13:50:29","2023-12-07 13:50:29","4695","","19","15","","Remote Sensing","Bibliometric Analysis of Spatial Technology for World Heritage","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DCHTHKJJ","journalArticle","2023","Hall, Ola; Dompae, Francis; Wahab, Ibrahim; Dzanku, Fred Mawunyo","A review of machine learning and satellite imagery for poverty prediction: Implications for development research and applications","Journal of International Development","","0954-1748, 1099-1328","10.1002/jid.3751","https://onlinelibrary.wiley.com/doi/10.1002/jid.3751","Abstract             The field of artificial intelligence is seeing the increased application of satellite imagery to analyse poverty in its various manifestations. This nascent but rapidly growing intersection of scholarship holds the potential to help us better understand poverty by leveraging big data and recent advances in machine vision. In this study, we statistically analyse the literature in the expanding field of welfare and poverty predictions from the combination of machine learning and satellite imagery. Here, we apply an integrative review method to extract key data on factors related to the predictive power of welfare. We found that the most important factors correlated to the predictive power of welfare are the number of pre‐processing steps employed, the number of datasets used, the type of welfare indicator targeted and the choice of AI model. Studies that used stock measure indicators (assets) as targets achieved better performance—17 percentage points higher—in predicting welfare than those that targeted flow measures (income and consumption) ones. Additionally, we found that the combination of machine learning and deep learning significantly increases predictive power—by as much as 15 percentage points—compared to using either alone. Surprisingly, we found that the spatial resolution of the satellite imagery used is important but not critical to the performance as the relationship is positive but not statistically significant. These findings have important implications for future research in this domain and for anyone aspiring to use the methodology.","2023-10","2024-02-19 12:35:03","2024-02-19 12:35:03","2024-02-19 12:35:03","1753-1768","","7","35","","J of Intl Development","A review of machine learning and satellite imagery for poverty prediction","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/ninaleach/Zotero/storage/ECCZ2F7D/Hall et al. - 2023 - A review of machine learning and satellite imagery.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC9KQLA","journalArticle","2021","Burke, Marshall; Driscoll, Anne; Lobell, David B.; Ermon, Stefano","Using satellite imagery to understand and promote sustainable development","Science","","0036-8075, 1095-9203","10.1126/science.abe8628","https://www.science.org/doi/10.1126/science.abe8628","Satellite monitoring of development                            Recent years have witnessed rapid growth in satellite-based approaches to quantifying aspects of land use, especially those monitoring the outcomes of sustainable development programs. Burke               et al.               reviewed this recent progress with a particular focus on machine-learning approaches and artificial intelligence methods. Drawing on examples mostly from Africa, they conclude that satellite-based methods enhance rather than replace ground-based data collection, and progress depends on a combined approach.                                         Science               , this issue p.               eabe8628                        ,                             BACKGROUND               Accurate and comprehensive measurements of a range of sustainable development outcomes are fundamental inputs into both research and policy. For instance, good measures are needed to monitor progress toward sustainability goals and evaluate interventions designed to improve development outcomes. Traditional approaches to measurement of many key outcomes rely on household surveys that are conducted infrequently in many parts of the world and are often of low accuracy. The paucity of ground data stands in contrast to the rapidly growing abundance and quality of satellite imagery. Multiple public and private sensors launched in recent years provide temporal, spatial, and spectral information on changes happening on Earth’s surface.               Here we review a rapidly growing scientific literature that seeks to use this satellite imagery to measure and understand various outcomes related to sustainable development. We pay particular attention to recent approaches that use methods from artificial intelligence to extract information from images, as these methods typically outperform earlier approaches and enable new insights. Our focus is on settings and applications where humans themselves, or what they produce, are the outcome of interest and on where these outcomes are being measured using satellite imagery.                                         ADVANCES               We describe and synthesize the variety of approaches that have been used to extract information from satellite imagery, with particular attention given to recent machine learning–based approaches and settings in which training data are limited or noisy. We then quantitatively assess predictive performance of these approaches in the domains of smallholder agriculture, economic livelihoods, population, and informal settlements. We show that satellite-based performance in predicting these outcomes is reasonably strong and improving. Performance improvements have come through a combination of more numerous and accurate training data, more abundant and higher-quality imagery, and creative application of advances in computer vision to satellite inputs and sustainability outcomes. Further, our analyses suggest that reported model performance likely understates true performance in many settings, given the noisy data on which predictions are evaluated and the types of noise typically observed in sustainability applications. For multiple outcomes of interest, satellite-based estimates can now equal or exceed the accuracy of traditional approaches to outcome measurement. We describe multiple methods through which the true performance of satellite-based approaches can be better understood.               Integration of satellite-based sustainability measurements into research has been broad, and we describe applications in agriculture, fisheries, health, and economics. Documented uses of these measurements in public-sector decision-making are rarer, which we attribute in part to the novelty of the approaches, their lack of interpretability, and the potential benefits to some policy-makers of not having certain outcomes be measured.                                         OUTLOOK               The largest constraint to satellite-based model performance is now training data rather than imagery. While imagery has become abundant, the scarcity and frequent unreliability of ground data make both training and validation of satellite-based models difficult. Expanding the quantity and quality of such data will quickly accelerate progress in this field. Other opportunities for advancement include improvements in model interpretability, fusion of satellites with other nontraditional data that provide complementary information, and more-rigorous evaluation of satellite-based approaches (relative to available alternatives) in the context of specific use cases.               Nevertheless, despite the current and future promise of satellite-based approaches, we argue that these approaches will amplify rather than replace existing ground-based data collection efforts in most settings. Many outcomes of interest will likely never be accurately estimated with satellites; for outcomes where satellites do have predictive power, high-quality local training data can nearly always improve model performance.                                                   Increasing collection of satellite imagery can help measure livelihood outcomes in areas where ground data are sparse.                                        (Left) Interval between nationally representative economic surveys over the past three decades shows long lags in many developing countries. (Middle) Recently added public and private satellites have broken the traditional trade-off between temporal and spatial resolution. (Right) Performance in measuring the presence of informal settlements, crop yields on smallholder agricultural plots, and village-level asset wealth.                     R                     2                     , coefficient of determination.                                                                                            ,              Accurate and comprehensive measurements of a range of sustainable development outcomes are fundamental inputs into both research and policy. We synthesize the growing literature that uses satellite imagery to understand these outcomes, with a focus on approaches that combine imagery with machine learning. We quantify the paucity of ground data on key human-related outcomes and the growing abundance and improving resolution (spatial, temporal, and spectral) of satellite imagery. We then review recent machine learning approaches to model-building in the context of scarce and noisy training data, highlighting how this noise often leads to incorrect assessment of model performance. We quantify recent model performance across multiple sustainable development domains, discuss research and policy applications, explore constraints to future progress, and highlight research directions for the field.","2021-03-19","2024-03-22 11:00:32","2024-03-22 11:00:32","2024-03-22 11:00:32","eabe8628","","6535","371","","Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/ninaleach/Zotero/storage/IKMYP43M/Burke et al. - 2021 - Using satellite imagery to understand and promote .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
