"STUDY_ID","REVIEWERS","INCLUDE","X","INCLUDE_nina","Title","Abstract.Note","Publication.Year","DOI","INCLUDE_jonas","INCLUDE_joep"
1,"nina","not vetted",3,"YES","toward multi-stage phenotyping of soybean with multimodal uav sensor data: a comparison of machine learning approaches for leaf area index estimation","leaf area index (lai) is an important parameter which can be used for crop growth monitoring and yield estimation. many studies have been carried out to estimate lai with remote sensing data obtained by sensors mounted on unmanned aerial vehicles (uavs) in major crops; however, most of the studies used only a single type of sensor, and the comparative study of different sensors and sensor combinations in the model construction of lai was rarely reported, especially in soybean. in this study, three types of sensors, i.e., hyperspectral, multispectral, and lidar, were used to collect remote sensing data at three growth stages in soybean. six typical machine learning algorithms, including unary linear regression (ulr), multiple linear regression (mlr), random forest (rf), extreme gradient boosting (xgboost), support vector machine (svm) and back propagation (bp), were used to construct prediction models of lai. the results indicated that the hyperspectral and lidar data did not significantly improve the prediction accuracy of lai. comparison of different sensors and sensor combinations showed that the fusion of the hyperspectral and multispectral data could significantly improve the predictive ability of the models, and among all the prediction models constructed by different algorithms, the prediction model built by xgboost based on multimodal data showed the best performance. comparison of the models for different growth stages showed that the xgboost-lai model for the flowering stage and the universal models of the xgboost-lai and rf-lai for three growth stages showed the best performances. the results of this study might provide some ideas for the accurate estimation of lai, and also provide novel insights toward high-throughput phenotyping of soybean with multi-modal remote sensing data.",2023,"10.3390/rs15010007","YES","YES"
2,"nina","not vetted",9,"YES","a temporal group attention approach for multitemporal multisensor crop classification","multitemporal observation capability is of great significance in crop classification. benefiting from time-intensive multitemporal multisensor rs data, we can obtain the fine temporal profiles of crops, and how to dig out the subtle differences of phenological profiles between crops is of great significance. in this paper, we propose a temporal-group-attention classifier to distinguish subtle differences of crops phenology, and the tga(temporal-group-attention) modules imitate the information selection mechanism of cognitive neuroscience to highlight differences between categories and ignore their similarities. after first obtaining the group sequence features of multitemporal rs images, then we use tga modules to select time periods with large differences in phenology. and the tga mechanism utilizes a “feature recalibration” strategy to highlight phenological differences, which firstly performs “group squeeze”, then “group excitation”, and finally performs “group reweighting”. in experiments, the proposed network is illustrated on a multitemporal dataset with sequence length of 65, in which the samples from sentinel-2a/b and landsat-8 are acquired over central valley of california throughout 2018. then, we perform multiresolution fusion for the sensors with different spatial resolutions. finally, the experimental results show that the proposed approach can achieve better classification accuracies over the categories with similar phenological profiles, compared with traditional methods and regular group convolution network without attention mechanism.",2020,"10.1016/j.infrared.2019.103152","YES","YES"
3,"nina","not vetted",13,"YES","operational framework to predict field level crop biomass using remote sensing and data driven models","remote sensing (rs) based monitoring provides opportunities to acquire timely and reliable information on crop growth at diverse scales. crop yield forecasts can help decision makers to formulate policies on maintaining national food reserves, sustaining food supply chains and attaining national food security. inter field crop yield heterogeneity arising from varied field management and agricultural practices necessitates this forecasting to be done at field-level. such field level information can aid farmers to identify gaps in water and farm management practices and take corrective actions, if needed. so far, no scalable tools are available to predict crop yields at field level that leverage the availability of open-access high-resolution rs data. this research implements an operational framework to predict field level crop biomass by evaluating different regression algorithms to develop data driven models, leveraging historical and near real time open-access high resolution optical satellite data from sentinel-2, radar data from sentinel-1 and evapotranspiration (eta) and net primary production (npp) data from food and agriculture organization’s (fao) water productivity through open-access remotely sensed data (wapor) platform. npp is used as a proxy for biomass production/yield. five of the most commonly used regression algorithms were tested to build a data-driven model for sugarcane npp prediction in wonji-shoa sugarcane estate, located in the awash basin, ethiopia. the models tested were the multivariate linear regression (mlr), stepwise multivariate linear regression (smlr), boosted regression trees (brt), support vector regression (svr), and random forest regression (rfr). the results revealed that for seasonal sugarcane npp predictions, the linear regression models (mlr and smlr) yielded more accurate predictions than the non-linear machine learning models (brt, svr and rfr) tested. the highest accuracy was achieved for mlr models for which estimates with 89% accuracy could be made 4 months prior to the harvest and with accuracies of 79% up to 200 days (approx. 6.5 months) before the harvest. the non-linear machine learning models, however, could not provide reliable estimates of sugarcane npp (accuracies < 61%). cumulative vegetation indices (vis) were found to have higher predictive power than standard vis for predicting future sugarcane npp. cumulative enhanced vegetation index (evi) was found to be the variable with the highest predictive power, followed by vh polarized sentinel-1 synthetic aperture radar data and wapor eta. the study shows the usefulness of high-resolution rs information to predict seasonal npp at field level. the methods presented here can be translated into an automated framework towards an operational system.",2022,"10.1016/j.jag.2022.102725","YES","YES"
4,"nina","not vetted",21,"YES","deep learning-based damage detection from aerial sfm point clouds","aerial data collection is well known as an efficient method to study the impact following extreme events. while datasets predominately include images for post-disaster remote sensing analyses, images alone cannot provide detailed geometric information due to a lack of depth or the complexity required to extract geometric details. however, geometric and color information can easily be mined from three-dimensional (3d) point clouds. scene classification is commonly studied within the field of machine learning, where a workflow follows a pipeline operation to compute a series of engineered features for each point and then points are classified based on these features using a learning algorithm. however, these workflows cannot be directly applied to an aerial 3d point cloud due to a large number of points, density variation, and object appearance. in this study, the point cloud datasets are transferred into a volumetric grid model to be used in the training and testing of 3d fully convolutional network models. the goal of these models is to semantically segment two areas that sustained damage after hurricane harvey, which occurred in 2017, into six classes, including damaged structures, undamaged structures, debris, roadways, terrain, and vehicles. these classes are selected to understand the distribution and intensity of the damage. the point clouds consist of two distinct areas assembled using aerial structure-from-motion from a camera mounted on an unmanned aerial system. the two datasets contain approximately 5000 and 8000 unique instances, and the developed methods are assessed quantitatively using precision, accuracy, recall, and intersection over union metrics.",2019,"10.3390/drones3030068","YES","YES"
5,"nina","not vetted",23,"YES","sentinel-3 olci observations of water clarity in large lakes in eastern china: implications for sdg 6.3.2 evaluation","the sustainable development goal (sdg) 6.3.2 of the united nations (un) focuses on ambient water quality, while water clarity simplistically and visually reflect water quality and can potentially support sdg 6.3.2 reporting. in this study, based on extensive field data and sentinel-3 ocean and land color instrument (olci) imagery, a random forest regression (rfr) secchi depth (zsd) model suitable for turbid and eutrophic waters was established. with this model, the zsd of 86 large (> 30 km2) lakes in eastern china was obtained from may 2016 to april 2018. additionally, the potential for applying olci-derived zsd data in the sdg 6.3.2 evaluation was assessed. of six common atmospheric correction (ac) processors (i.e., bac, c2rcc, polymer, bp, mumm, and 6sv), 6sv often exhibited the best performance except for at 754 nm (root mean square error (rmse) ≤ 0.0094 sr−1, mean absolute percentage error (mape) ≤ 36.27%, and mean normalized bias (mnb) ≤ 15.89%). the rfr model had higher accuracy (r2 = 0.70, rmse = 0.13 m, mape = 33.43%, and mnb = 14.55%) and was more suitable for eutrophic and turbid inland lakes across eastern china than the other available zsd algorithms. the average olci-derived zsd of the lakes in eastern china was 0.44 ± 0.13 m, suggesting that these lakes are extremely turbid. the average zsd of lakes in the eastern plain lake (epl) zone (0.45 ± 0.12 m) was higher than that of the lakes in the northeastern plain and mountain lake (npml) zone (0.40 ± 0.17 m). the majority of lakes showed higher zsd values in summer (rainy season) than in fall and winter (dry season). a simple sdg 6.3.2 evaluation scheme was developed based on the zsd product, and only 54.65% of the lakes (n = 47) reached the “good” level during the monitoring period as a result of the eutrophication of the lakes in eastern china. this study provides water clarity information for large lakes in eastern china and facilitates the understanding of ambient water quality under the 2030 un sdg framework as well as data and technical support for future sdg 6.3.2 evaluations.",2020,"10.1016/j.rse.2020.111950","YES","YES"
6,"nina","not vetted",24,"YES","adaptive modeling of satellite-derived nighttime lights time-series for tracking urban change processes using machine learning","remotely sensed nighttime lights (ntl) uniquely capture urban change processes that are important to human and ecological well-being, such as urbanization, socio-political conflicts and displacement, impacts from disasters, holidays, and changes in daily human patterns of movement. though several ntl products are global in extent, intrinsic city-specific factors that affect lighting, such as development levels, and social, economic, and cultural characteristics, are unique to each city, making the urban processes embedded in ntl signatures difficult to characterize, and limiting the scalability of urban change analyses. in this study, we propose a data-driven approach to detect urban changes from daily satellite-derived ntl data records that is adaptive across cities and effective at learning city-specific temporal patterns. the proposed method learns to forecast ntl signatures from past data records using neural networks and allows the use of large volumes of unlabeled data, eliminating annotation effort. urban changes are detected based on deviations of observed ntl from model forecasts using an anomaly detection approach. comparing model forecasts with observed ntl also allows identifying the direction of change (positive or negative) and monitoring change severity for tracking recovery. in operationalizing the model, we consider eleven urban areas from diverse geographic regions with dynamic ntl time-series and demonstrate the generalizability of the approach for detecting the change processes with different drivers and rates occurring within these urban areas based on ntl deviation. the proposed approach for monitoring changes from daily remote sensing observations efficiently utilizes large data volumes to support continuous monitoring and decision making.",2023,"10.1016/j.rse.2023.113818","YES","YES"
7,"nina","not vetted",26,"YES","a labor-free index-guided semantic segmentation approach for urban vegetation mapping from high-resolution true color imagery","accurate and timely information on urban vegetation (uv) can be used as an important indicator to estimate the health of cities. due to the low cost of rgb cameras, true color imagery (tci) has been widely used for high spatial resolution uv mapping. however, the current index-based and classifier-based uv mapping approaches face problems of the poor ability to accurately distinguish uv and the high reliance on massive annotated samples, respectively. to address this issue, an index-guided semantic segmentation (igss) framework is proposed in this paper. firstly, a novel cross-scale vegetation index (csvi) is calculated by the combination of tci and sentinel-2 images, and the index value can be used to provide an initial uv map. secondly, reliable uv and non-uv samples are automatically generated for training the semantic segmentation model, and then the refined uv map can be produced. the experimental results show that the proposed csvi outperformed the existing five rgb vegetation indices in highlighting uv cover and suppressing complex backgrounds, and the proposed igss workflow achieved satisfactory results with an oa of 87.72% ∼ 88.16% and an f1 score of 87.73% ∼ 88.37%, which is comparable with the fully-supervised method.",2023,"10.1080/17538947.2023.2207839","YES","YES"
8,"nina","not vetted",27,"YES","leveraging openstreetmap and multimodal remote sensing data with joint deep learning for wastewater treatment plants detection","humans rely on clean water for their health, well-being, and various socio-economic activities. during the past few years, the covid-19 pandemic has been a constant reminder of about the importance of hygiene and sanitation for public health. the most common approach to securing clean water supplies for this purpose is via wastewater treatment. to date, an effective method of detecting wastewater treatment plants (wwtp) accurately and automatically via remote sensing is unavailable. in this paper, we provide a solution to this task by proposing a novel joint deep learning (jdl) method that consists of a fine-tuned object detection network and a multi-task residual attention network (ran). by leveraging openstreetmap (osm) and multimodal remote sensing (rs) data, our jdl method is able to simultaneously tackle two different tasks: land use land cover (lulc) and wwtp classification. moreover, jdl exploits the complementary effects between these tasks for a performance gain. we train jdl using 4,187 wwtp features and 4,200 lulc samples and validate the performance of the proposed method over a selected area around stuttgart with 723 wwtp features and 1,200 lulc samples to generate an lulc classification map and a wwtp detection map. extensive experiments conducted with different comparative methods demonstrate the effectiveness and efficiency of our jdl method in automatic wwtp detection in comparison with single-modality/single-task or traditional survey methods. moreover, lessons learned pave the way for future works to simultaneously and effectively address multiple large-scale mapping tasks (e.g., both mapping lulc and detecting wwtp) from multimodal rs data via deep learning.",2022,"10.1016/j.jag.2022.102804","YES","YES"
9,"nina","not vetted",29,"YES","forest plantation species classification using full-pol-time-averaged sar scattering powers","forest plantation species identification is essential for biodiversity conservation, sustainable management, and carbon sequestration. fully polarimetric synthetic aperture radar (full-pol-sar) remote sensing data aids as an alternative to time-consuming field inventory and cloud-covered optical data for forest plantation species identification. this study tried to identify forest plantation species using fully polarimetric time-series averaged sar (full-pol-time-averaged sar) datasets. due to the availability of time series quad polarization data of terrasar-x from december 20, 2014 to march 07, 2015 and near-real-time field with us for the haldwani forest area, we have utilized these data sets for the proposed work. the temporal effect of phenological changes can be characterized using the full-pol-sar 6-component scattering power decomposition (6sd) and is utilized to identify different forest species. misclassification problem exists in forests with single-date 6sd images, an improved forest species classification approach based on time-averaged 6sd and a supervised random forest (rf) classifier is proposed. this study reveals that teak, eucalyptus, poplar, mixed, and non-forest could be distinctly identified and classified in time-averaged 6sd images. the overall classification accuracy of the proposed approach (∼83.72%) was, higher than the single-date full-pol-sar results (mean overall accuracy with standard deviation 68.949 ± 2.096%).",2023,"10.1016/j.rsase.2023.100924","YES","YES"
10,"nina","not vetted",30,"YES","assessment of soil suitability using machine learning in arid and semi-arid regions","increasing agricultural production is a major concern that aims to increase income, reduce hunger, and improve other measures of well-being. recently, the prediction of soil-suitability has become a primary topic of rising concern among academics, policymakers, and socio-economic analysts to assess dynamics of the agricultural production. this work aims to use physico-chemical and remotely sensed phenological parameters to produce soil-suitability maps (ssm) based on machine learning (ml) algorithms in a semi-arid and arid region. towards this goal an inventory of 238 suitability points has been carried out in addition to14 physico-chemical and 4 phenological parameters that have been used as inputs of machine-learning approaches which are five mla prediction, namely rf, xgbtree, ann, knn and svm. the results showed that phenological parameters were found to be the most influential in soil-suitability prediction. the validation of the receiver operating characteristics (roc) curve approach indicates an area under the curve and an auc of more than 0.82 for all models. the best results were obtained using the xgbtree with an auc = 0.97 in comparison to other mla. our findings demonstrate an excellent ability for ml models to predict the soil-suitability using physico-chemical and phenological parameters. the approach developed to map the soil-suitability is a valuable tool for sustainable agricultural development, and it can play an effective role in ensuring food security and conducting a land agriculture assessment.",2023,"10.3390/agronomy13010165","YES","YES"
